stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.99,9.44,0,0,44.06,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,40,6,0,24,0,1,0,3,0,0,0,0,0,0,0,1,19,0,0,17,173,5,0,4,0,0,13,1,10,2,1,25,49,0,0,4,0,2
 24-34,0.82,0,5.75,52.53,1.64,0,55,0,4.1,0.82,13.13,0,3.28,0,2.46,0,3.28,1.64,1.64,79.62,0.82,0.82,51.71,297.97,4.93,3.28,11.49,0,0,66.49,0,0,4.93,4.1,6.57,87.01,0,0,23.8,0,1.64
 36-46,0,0,0,22.56,0,0,69.29,1.61,3.22,4.83,28.2,0.81,1.61,0,0,0.81,2.42,0.81,0.81,97.49,0.81,1.61,30.62,142.6,8.06,1.61,2.42,0,0,41.09,0,0,0,2.42,1.61,38.67,0,0.81,12.09,0,4.83
 48-58,0,0,0.57,16.07,0,0,114.76,2.3,4.02,10.33,39.59,0,2.87,1.72,0,1.15,3.44,1.15,1.72,141.16,0.57,2.3,33.85,81.48,11.48,0.57,4.59,0,0,31.56,0,0,2.3,2.87,0,41.89,0,0,9.75,0,5.16
 60-70,0,0,0,12.76,0.98,0,74.6,2.94,6.87,11.78,90.3,1.96,2.94,0,0.98,0,1.96,0,0.98,143.3,0,1.96,12.76,30.43,6.87,0,1.96,0,0.98,18.65,0,0,1.96,2.94,0,9.82,0,2.94,7.85,2.94,4.91
 72-82,0,0,0,36.32,0.98,0,69.7,0.98,9.82,19.63,163.94,8.83,4.91,0.98,4.91,0,9.82,5.89,0.98,351.43,0,8.83,39.27,53.99,12.76,0,15.71,0,0.98,34.36,0,0,4.91,0,0,16.69,0.98,7.85,29.45,4.91,5.89
 84-94,0,0,0,122.13,1.06,0,93.46,2.12,20.18,18.05,103.02,13.81,4.25,5.31,5.31,3.19,6.37,7.43,3.19,228.34,1.06,10.62,27.61,54.16,15.93,2.12,19.12,0,5.31,148.69,1.06,0,8.5,1.06,0,7.43,1.06,3.19,23.36,3.19,10.62
 96-106,0,0,0,71.04,2.19,0,83.06,0,19.67,10.93,171.58,8.74,9.84,5.46,5.46,3.28,5.46,8.74,2.19,284.14,3.28,5.46,27.32,74.31,14.21,2.19,19.67,0,4.37,65.57,0,0,12.02,3.28,0,19.67,0,7.65,29.51,5.46,6.56
108-118,0,0,0,114.89,3.06,9.19,87.32,3.06,32.94,13.02,140.17,16.85,2.3,5.36,6.89,9.19,6.13,16.85,7.66,256.6,0.77,2.3,29.87,78.89,14.55,3.06,15.32,0,3.06,88.85,0,0,5.36,3.83,0,10.72,2.3,0.77,29.11,7.66,17.62
120,1.96,0,0,52.91,1.96,0,45.08,1.96,15.68,7.84,70.55,3.92,3.92,3.92,0,0,0,9.8,0,133.27,1.96,1.96,19.6,41.16,13.72,0,11.76,0,0,43.12,0,0,1.96,0,0,3.92,0,0,9.8,3.92,1.96
