stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,31.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,1.61,0,0,0,0,0
 48-58,0,0.57,0,270.26,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0,4.59,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,1.96,1132.68,0,0,0,0.98,0.98,0,0,0,0,0,0,2.94,0,0,0,25.52,0,0,0,1.96,0.98,3.93,0,0,0,0,0
 72-82,0,8.83,6.87,1392.98,0,0,0.98,6.87,2.94,0.98,0.98,0,0,0,0.98,16.69,0,1.96,0.98,55.95,0,1.96,0.98,3.93,0,0,0,0,1.96,3.93,0
 84-94,0,18.05,0,1469.86,1.06,2.12,0,10.62,1.06,1.06,0,1.06,1.06,0,1.06,15.93,1.06,3.19,0,19.12,1.06,2.12,1.06,1.06,0,2.12,0,3.19,0,0,0
 96-106,0,9.84,0,862.26,0,1.09,0,7.65,0,0,3.28,1.09,1.09,1.09,0,8.74,0,1.09,1.09,38.25,0,0,0,1.09,0,1.09,0,0,2.19,0,1.09
108-118,0,3.06,2.3,522.39,0,0,0.77,4.6,0,0,0,0,0,0.77,0,7.66,0,0.77,2.3,26.04,1.53,0,0,2.3,1.53,0.77,0.77,1.53,0,0.77,0
120,0,1.96,0,446.83,1.96,1.96,0,1.96,0,0,0,1.96,0,0,0,7.84,0,0,0,15.68,0,0,3.92,3.92,0,0,0,0,0,0,0
