stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,8,1,0,4,0,0,0,1,0,4,0,0,11,0,1,0,4,0,0,3,158,0,3,1,1,0,2,1,0,0,2,93,0,0,0,0,0
 24-34,0,0,2.46,0,8.21,0.82,0,17.24,0,1.64,0,4.1,0,0.82,0.82,0,21.34,0.82,0,0,9.85,4.93,0,5.75,397.29,0,30.37,0,0,0,4.93,0,0,0,0.82,185.51,0,0,0.82,0,0
 36-46,0,0,0,0,4.03,0,0,107.15,0,1.61,0.81,23.36,0,0,0.81,0.81,4.03,0,0,0.81,22.56,1.61,1.61,1.61,670.32,2.42,24.17,0,0,0.81,8.86,0,0.81,0.81,0,300.51,0,0,1.61,0,1.61
 48-58,0,0,0.57,0,0.57,0.57,0,183.62,0,0,1.72,49.92,0,0,0.57,0.57,0,0,0.57,1.15,31.56,0.57,1.15,2.3,580.12,0,16.07,0,0,0,2.87,0,0,0,0,255.92,0,0,1.15,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,167.84,4.91,0,0,48.09,0.98,0,0,0.98,1.96,0,0,0,12.76,0,1.96,0.98,546.71,0,15.7,0,0,0,1.96,0,0,0,0,171.77,0,0,0,0,1.96
 72-82,0,0,5.89,0,10.8,0.98,0,142.34,0,0.98,0.98,53.99,1.96,0.98,0,0,4.91,0.98,0,0,40.25,0,3.93,4.91,548.75,0,28.47,1.96,0,0,0,0,0,0,0,128.6,0,0.98,0.98,1.96,1.96
 84-94,0,0,7.43,0,4.25,5.31,0,97.71,1.06,0,3.19,36.11,0,0,0,1.06,9.56,1.06,0,1.06,31.86,1.06,5.31,1.06,322.86,0,15.93,1.06,0,0,3.19,0,0,0,0,57.35,0,1.06,0,2.12,0
 96-106,0,0,7.65,0,9.84,1.09,1.09,104.91,1.09,0,1.09,65.57,4.37,0,1.09,2.19,3.28,2.19,2.19,0,42.62,1.09,8.74,2.19,300.53,0,24.04,0,0,1.09,6.56,0,0,1.09,0,38.25,0,2.19,1.09,3.28,0
108-118,0,0,2.3,0,6.89,5.36,0,67.4,0,0.77,0,49.02,3.06,0,1.53,1.53,9.96,1.53,0.77,0,25.28,0.77,1.53,3.06,363.83,0,13.79,0,0,0.77,3.83,0,0.77,0,0,36,1.53,2.3,0,0.77,0
120,1.96,0,1.96,0,5.88,1.96,0,47.03,3.92,0,1.96,47.03,1.96,0,0,3.92,3.92,0,0,0,21.56,0,1.96,7.84,274.37,0,19.6,0,0,0,0,0,0,0,0,41.16,1.96,0,0,3.92,0
