stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,44.69,0,0,2.63,0,0,0,0,86.75,0,0,0,0,0,0,0,0,0,0,42.06,10.51,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.18,0,0,6.29,0,0,0,0,113.29,0,0,0,0,0,0,0,0,0,0,69.23,22.03,0,40.91,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,11,3,0,0,0,0,3,9,0,0,0,0,0,0,14,0,0,7,22,4,2,0,0,0,3,2,6,16,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,35.3,0,0,6.57,4.93,10.67,1.64,0,0.82,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,1.61,0,2.42,0,0,0.81,0,0,0,0,0,2.42,0,0,53.17,0.81,0.81,4.83,4.03,7.25,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,1.72,0.57,0.57,1.15,0,0,0,0,0.57,1.15,0,0,126.81,0,0.57,5.74,8.03,2.3,0.57,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,1.96,0,3.93,2.94,0.98,0,0,0,0,0,0,4.91,0,0,168.82,0,1.96,6.87,3.93,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,1.96,0,3.93,0,0.98,1.96,0,0,0.98,0,0,7.85,0,0,216.95,0,3.93,4.91,6.87,0,4.91,0,0,0,0,0,0,0.98,1.96,0.98,0.98,0
 84-94,0,0,0,0,0,6.37,3.19,1.06,2.12,0,0,1.06,0,0,13.81,0,0,144.44,0,5.31,1.06,4.25,0,0,0,0,2.12,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,0,2.19,2.19,3.28,5.46,0,1.09,0,0,1.09,1.09,0,8.74,0,1.09,144.26,0,2.19,1.09,6.56,0,1.09,0,0,1.09,0,0,0,1.09,2.19,0,2.19,1.09
108-118,0,0,0,1.53,0,2.3,4.6,0.77,1.53,0.77,0,0,0.77,0,12.26,0,0,103.41,0,6.13,3.06,5.36,0.77,0,0,0,0,0,1.53,0,0,0.77,0,0,0
120,0,0,0,7.84,0,0,0,0,0,1.96,0,0,1.96,0,15.68,0,0,92.11,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0
