stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,1,2,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,11.49,0.82,0,0,0,0,0,0,0,1.64,0,0,12.31,0,8.21,19.7,0,0.82,6.57,0,0,0,1.64,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,12.09,5.64,0,0,5.64,0.81,0,0,0,2.42,0,0,19.34,0,15.31,54.79,0,1.61,13.7,0,0,0,3.22,0.81,4.03,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,21.23,4.59,0,1.15,4.02,1.72,0.57,0,0,2.3,0.57,0,39.02,0,24.67,52.79,0,0.57,14.92,0,0,0,1.15,0,2.3,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,30.43,6.87,0,0,6.87,3.93,0,0,0,3.93,0,0,73.61,0,41.22,24.54,0,0,21.59,0,0.98,0,0.98,0,5.89,0.98,0.98,0,0.98
 72-82,0,0,0,0,0.98,0,0,53.01,6.87,0,4.91,11.78,0,0,0,0,14.72,0,0,144.3,0.98,45.16,16.69,0,0,35.34,0,0,0,2.94,0,2.94,0,0,0,0
 84-94,0,0,0,0,5.31,0,0,141.25,3.19,0,0,6.37,1.06,0,2.12,1.06,5.31,0,0,94.52,0,24.43,13.81,0,0,58.41,0,5.31,2.12,2.12,0,2.12,0,0,0,1.06
 96-106,0,0,0,2.19,8.74,1.09,0,145.35,5.46,1.09,0,9.84,2.19,1.09,0,1.09,10.93,0,0,125.68,0,27.32,19.67,1.09,2.19,72.13,0,2.19,2.19,1.09,0,1.09,0,1.09,2.19,0
108-118,0,0,0.77,0.77,1.53,0,2.3,183.83,2.3,1.53,2.3,2.3,0,0,0,5.36,6.13,1.53,0.77,107.23,0,27.57,16.85,0,0,72,0,1.53,0.77,3.83,0,0,1.53,0,0.77,0.77
120,0,0,0,0,1.96,1.96,0,58.79,7.84,0,0,0,1.96,1.96,0,5.88,0,0,0,78.39,1.96,13.72,11.76,1.96,0,37.24,0,0,0,0,0,0,0,0,1.96,1.96
