stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,3.15,0,6.29,0,0,0,0
 14-21,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0
 24-34,0,0,0.82,0,0,4.1,0,0,0,3.28,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,2.42,0,0,1.61,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,1.15,0,0.57,0.57,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,1.96,0,1.96,1.96,0,0,0,0.98,0,4.91,0,0,0.98,0.98,0,0,0,0.98,0,0.98,0,2.94,0
 72-82,0,0,3.93,0,0,2.94,0.98,0,0,0,0,28.47,0,0,0.98,0,0,0.98,0,0,0,0.98,0,2.94,0.98
 84-94,0,0,2.12,0,0,2.12,0,0,0,0,0,24.43,0,0,0,1.06,2.12,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,4.37,0,1.09,0,0,0,0,0,0,33.88,0,0,0,0,2.19,0,0,0,0,0,0,1.09,0
108-118,0,0,5.36,0,0,0.77,0,0.77,0,0,1.53,32.17,0,0,0.77,1.53,0,0,0,0,0.77,0,0,1.53,1.53
120,0,0,0,0,1.96,0,0,0,0,0,0,35.28,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
