stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,92.25,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,171.63,839.76,42.91,0,0,0,0,0,0,0,0,0,0,0,220.67,0,6.13,6.13,0,0,0,0
  7-9,7.89,2.63,1067.26,0,0,21.03,0,0,0,0,15.77,0,0,0,651.92,7.89,39.43,0,2.63,0,0,0
 10-12,0,0,377.64,0,0,12.59,0,0,0,0,3.15,0,0,0,236.02,0,22.03,0,0,6.29,0,0
 14-21,0,0,0,2,4,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,8.21,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,4.59,0,0,0,0,0,0.57,0
 60-70,0,0,0,1.96,0,0.98,0,0,0.98,0,0,0,0.98,0,5.89,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0.77,0,0,0,0,0,0.77,0,2.3,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0
