stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,2,0,0,1,7,0,0,0,0
 24-34,0,0,0.82,1.64,1.64,0,0,0,0,0,0,0,0,0,0,10.67,0,0,3.28,40.22,1.64,0,0,0,2.46,0,6.57,0,0,40.22,0,3.28,0,0
 36-46,0,0,0,0,3.22,0,0.81,0.81,0,0,0,0.81,0,0,0.81,19.34,0,0,2.42,116.82,0,0.81,0,0,4.83,0,0,0,0,53.17,0,1.61,0,0
 48-58,0,0,1.15,0,8.03,1.15,1.15,1.15,1.15,0,0,0,0,0,0,14.92,0,0,1.15,152.63,0.57,0,0.57,0,8.61,0,0.57,0.57,0,53.94,0,0.57,0,0.57
 60-70,0,0,0,0,16.69,0,2.94,0,0,0,0,0,0,0,0,12.76,0,0,3.93,184.53,0,0.98,0,0,7.85,0,0.98,0,0,45.15,0,0.98,0,0
 72-82,0,0.98,3.93,0,44.17,0.98,8.83,0.98,0.98,0,0,1.96,0.98,0,0,26.5,0,0.98,2.94,218.91,0,0,0.98,0,19.63,0,5.89,0,0,36.32,0,1.96,0.98,0
 84-94,0,1.06,3.19,1.06,21.24,0,7.43,0,3.19,0,0,2.12,1.06,1.06,0,9.56,2.12,0,0,129.57,0,0,0,0,76.47,0,2.12,1.06,0,19.12,1.06,3.19,0,0
 96-106,0,0,5.46,2.19,14.21,1.09,9.84,0,6.56,0,1.09,1.09,0,0,0,12.02,0,0,2.19,125.68,0,0,1.09,0,28.41,0,3.28,0,0,12.02,1.09,1.09,1.09,0
108-118,0,0,3.83,0.77,19.92,0,16.09,1.53,5.36,1.53,0.77,5.36,0,0,0.77,10.72,0.77,0,1.53,143.24,0,0,0,0,15.32,0,3.06,0.77,0,6.13,1.53,1.53,0,0.77
120,0,0,1.96,0,33.32,0,13.72,1.96,15.68,0,1.96,5.88,0,0,0,15.68,0,0,1.96,172.46,0,0,1.96,0,7.84,0,5.88,1.96,0,15.68,1.96,0,1.96,0
