stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,5.26,0,0,15.77,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,6.29,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,2,0,0,1,55,1,0,1,2,0,0,0,5,1,1,32,0,0,0,0,0
 24-34,0,0,0,0.82,4.93,1.64,2.46,0,0,0.82,0.82,0.82,0,1.64,0,0,0,0,0,0,24.63,0,0,9.85,240.51,4.1,9.03,0,0,0,0.82,0.82,0,0,0,69.77,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0.81,5.64,0,0,0.81,2.42,0.81,0,1.61,0,0.81,0,0,0,0,14.5,0,0,4.83,366.58,0,4.03,0,0,0,0.81,0,0,0,0,72.51,0,0,3.22,0,2.42
 48-58,0,0,0,0,3.44,0,26.4,0,1.15,0,2.87,0,0,0.57,1.15,0,0.57,0.57,0,1.15,17.21,0,0,5.16,401.66,0.57,2.87,0,0,0,0.57,0.57,0,0,0,68.86,0,0.57,2.3,0,2.87
 60-70,0,0,0,0,5.89,0,120.73,0,0.98,1.96,8.83,0,0,0,0.98,0,0,0.98,0,0.98,28.46,0,1.96,0.98,718.47,0.98,6.87,0,0,0.98,5.89,0,0,0,0,93.24,0.98,0.98,3.93,0.98,7.85
 72-82,0,0,0,0,9.82,0,242.47,0,0,4.91,26.5,0,0,0,2.94,0,0.98,1.96,0.98,0,62.83,0,0.98,5.89,784.35,0,12.76,1.96,0,0,0,0,0,0,0,67.73,0.98,2.94,5.89,1.96,0.98
 84-94,0,0,3.19,0,5.31,2.12,137,0,0,0,21.24,1.06,0,0,2.12,1.06,2.12,0,3.19,1.06,39.3,0,3.19,6.37,309.05,0,6.37,2.12,0,0,3.19,0,0,0,0,42.48,0,1.06,4.25,2.12,2.12
 96-106,0,0,2.19,0,2.19,1.09,111.47,0,1.09,0,9.84,3.28,0,0,3.28,0,4.37,1.09,2.19,2.19,33.88,1.09,2.19,5.46,237.15,0,10.93,3.28,0,1.09,2.19,0,0,0,0,15.3,0,0,2.19,0,5.46
108-118,0,0,0,0,6.13,0.77,92.68,0.77,1.53,3.83,16.09,0.77,0,0,2.3,0,5.36,0,1.53,1.53,34.47,0,0.77,2.3,327.07,1.53,4.6,2.3,0,1.53,0.77,0,0,0,0,14.55,0,3.06,2.3,3.83,6.13
120,0,0,0,0,19.6,3.92,70.55,0,1.96,1.96,15.68,1.96,0,0,3.92,0,1.96,1.96,1.96,0,31.36,0,1.96,3.92,421.35,1.96,5.88,5.88,0,3.92,0,0,0,0,0,13.72,1.96,1.96,9.8,1.96,0
