stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,155.09,13.14,0,0,57.83,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,25.18,0,3.15,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,198.26,18.88,0,0,47.2,0,0,6.29,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,5,0,0,0,0,1,0,0,0,0,0,5,0,0,1,19,0,0,0,0,0,0,0,3,0,0,4,12,0,0,0,0
 24-34,0,0,0,0,0.82,4.93,0.82,1.64,0,0,0,0,0,0,0,0,5.75,0,0,4.1,84.55,0,2.46,0,0,0,2.46,0,0,0,0,4.1,13.13,0,0,0.82,0
 36-46,0,0,0,0.81,0,12.09,0.81,5.64,0,0,0,0,0,0,0,0,8.06,0,0.81,1.61,98.29,0.81,2.42,0.81,0,0,0,0,0,0.81,0.81,0,21.75,0,0,0.81,0
 48-58,0,0,0,1.15,0,18.94,0,5.16,0,0,0,0.57,0,0,0,0,8.61,0,0,2.87,123.37,1.15,0.57,1.72,0,0.57,0,0,0,0,0,0,17.21,0,0,0.57,0
 60-70,0,0,0,0.98,0,37.3,0,5.89,0,0,0,0,0,0,0,0,14.72,0,0,1.96,107.97,0,0,0,0,0,1.96,0,0,0,0,0,13.74,0,0,4.91,0.98
 72-82,0,0,0,4.91,2.94,68.72,1.96,11.78,0,0,0,0,0,0,0,0,21.6,0,0.98,1.96,82.46,0,0,0,0,0,0,0,0,0,0,0,8.83,0.98,1.96,1.96,0
 84-94,0,0,0,5.31,1.06,32.92,1.06,9.56,1.06,1.06,0,0,1.06,1.06,0,1.06,12.74,0,0,1.06,44.61,0,0,1.06,0,0,2.12,0,0,0,0,0,7.43,0,0,2.12,0
 96-106,0,0,0,0,0,21.86,1.09,4.37,0,0,0,1.09,1.09,1.09,0,0,13.11,0,0,1.09,41.53,0,1.09,0,0,1.09,3.28,0,0,0,0,0,2.19,0,1.09,1.09,0
108-118,0,0,0,3.06,1.53,13.02,0.77,3.06,2.3,0,0,1.53,1.53,0.77,0.77,0,3.83,0.77,0.77,0,29.87,0,1.53,1.53,0,0,1.53,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,1.96,0,11.76,0,7.84,0,0,0,0,0,0,0,0,9.8,0,0,0,62.71,0,0,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,1.96
