stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,mesenchyme,neural,otic,pericytes,spinal_cord,visceral_smooth_muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,3,0
 24-34,0,0,0,0.82,0.82,0,0,0,1.64,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,0.81,0,0.81,2.42,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,1.96,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0.98,2.94,0,0.98,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,1.06,2.12,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,2.19,0,1.09,0,0,0,4.37
108-118,0,0,0,0,0,0,0.77,3.06,0.77,0,0,0,0,1.53
120,0,0,0,1.96,0,0,0,5.88,0,1.96,0,0,0,0
