stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,12.59,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,226.58,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,13,0,0,4,0,0,0,0,1,0,1,367,1,0,0,0,0,2,71,0,0
 24-34,0,0.82,0,0.82,0,8.21,0,0,9.03,0,0,0,0,0,0,0,398.12,0,2.46,0.82,0,0,0,96.86,0.82,0
 36-46,0,0.81,0,0,0,4.03,0,0,8.06,0,0,0,0,0,0,0,238.48,0,2.42,0,0,0,0,65.26,0,0
 48-58,0,1.72,0,0.57,0,8.61,0,0,12.05,0,0,0,0,1.72,0,0.57,225.51,0,1.72,0.57,0,0,0,43.04,0.57,0
 60-70,0,1.96,0,0.98,0,17.67,0,0,6.87,0,0,0,1.96,1.96,0,0,309.18,0,1.96,0,0,0,0,17.67,0,0
 72-82,0,7.85,0,0.98,1.96,37.3,0,0,7.85,1.96,0,0.98,0.98,2.94,0,0.98,382.85,0,0.98,0.98,0,0,0,12.76,0,0
 84-94,0,7.43,0,0,0,22.3,0,0,12.74,0,0,0,7.43,4.25,1.06,1.06,191.17,0,0,2.12,0,1.06,0,6.37,0,0
 96-106,0,7.65,0,0,1.09,32.79,1.09,0,5.46,0,0,1.09,4.37,0,0,1.09,180.32,0,1.09,2.19,0,1.09,0,8.74,1.09,1.09
108-118,0,9.19,0,1.53,0.77,29.87,0,0,6.13,1.53,0.77,0,9.19,2.3,0.77,0,247.41,0,0,0.77,0,0.77,0,5.36,0.77,0
120,0,9.8,0,5.88,0,29.4,0,1.96,3.92,1.96,0,0,5.88,5.88,0,0,382.16,0,3.92,0,0,0,0,1.96,0,0
