stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,36,0,0,0,0,1,0,16,0,0
 24-34,0,0,0,1.64,6.57,0,0.82,0,0,0,0,0,0.82,0,13.13,118.2,0.82,0.82,0,0,0,0,0.82,9.03,0
 36-46,0,0,0,0.81,4.03,0,3.22,0,0,0.81,0,0,2.42,0,0.81,97.49,0.81,0,0,0.81,0,0,0,3.22,0
 48-58,0,0,0,3.44,5.74,0.57,13.2,0,0.57,0,0.57,0,6.89,0,9.18,59.1,0,1.72,0,0.57,0,0,0,2.87,0
 60-70,0,0,0,0.98,0.98,0,19.63,0,0,0,0,0,13.74,0,11.78,30.43,0,4.91,0,0.98,0,0,0,4.91,0
 72-82,0,0,0,2.94,15.71,0,52.03,0,0,0,0,0,32.39,0,21.6,39.27,0,7.85,0,0,0,0,0,2.94,0
 84-94,0,0,0,0,7.43,0,31.86,1.06,0,0,0,0,11.68,1.06,13.81,31.86,0,6.37,0,0,0,0,0,6.37,0
 96-106,0,0,0,4.37,9.84,1.09,57.92,0,0,0,0,0,29.51,0,17.49,45.9,0,9.84,0,0,0,0,0,3.28,1.09
108-118,0,0,0.77,2.3,5.36,0,45.96,0,0,0,0.77,0.77,22.21,0,13.02,34.47,0,10.72,0,0,0,0,0,0,0.77
120,0,0,0,0,9.8,0,45.08,1.96,0,0,0,0,13.72,0,3.92,39.2,0,9.8,0,0,0,0,0,0,0
