stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,9.44,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,1,9,0,0,1,3,0,3,4,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0.82,13.13,0,0,0.82,0,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,0.81,0,10.47,0.81,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,4.02,0.57,0.57,0,1.72,0,8.61,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,3.93,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,1.96,0,0,0.98,1.96,0.98,8.83,0,0,0.98,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,1.06,0,2.12,0,0,0,1.06,0,0,0,0,1.06,0,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0.77,0.77,0,0.77,0,1.53,0,2.3,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,0,0,1.96,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0
