stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,21.03,13.14,0,0,0,31.54,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,407.45,44.69,0,0,449.51,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,18.88,0,0,0,81.82,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,953.53,40.91,0,0,424.84,0,0,0,0,6.29,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,37,7,0,11,0,0,0,15,3,0,1,0,0,0,0,0,0,16,1,0,14,292,8,0,0,2,0,0,0,7,2,5,10,158,0,0,5,0,0
 24-34,0,0,0,21.34,0,0,20.52,0,3.28,3.28,22.16,0,0,8.21,0,0,0.82,0.82,0.82,0,45.97,0,0,36.12,593.48,2.46,0,1.64,0,0,0,0,0,0,0,2.46,217.53,0,0,18.06,0,1.64
 36-46,0,0,0,11.28,0,0,55.59,0.81,5.64,4.03,46.73,0,0,1.61,0,0,2.42,0.81,0.81,2.42,66.87,0.81,1.61,18.53,668.71,3.22,0.81,0,0,0,0,0,0,0,0,0,284.4,0,0,20.95,0,4.83
 48-58,0,0,0,8.03,0,0,52.22,0.57,3.44,7.46,61.4,0,0,2.3,0,0,1.15,0.57,0,1.15,76.32,0,0.57,13.2,183.62,2.3,0.57,1.15,0.57,0.57,0.57,0,0,0.57,0,0,123.94,0,1.15,17.79,0,2.3
 60-70,0,0,0,20.61,0,0,42.21,0.98,10.8,8.83,85.39,3.93,0,0.98,0,0.98,3.93,0,0,0.98,168.82,0.98,0,8.83,97.17,1.96,0,1.96,0,0,0,0,0,0,0,0,64.78,0,3.93,6.87,0,0.98
 72-82,0,0,0,14.72,0,0,28.47,0,8.83,16.69,59.88,2.94,0,1.96,0,1.96,6.87,3.93,0,0,200.26,0,8.83,15.71,60.86,0,0,3.93,0,2.94,0,0,0,1.96,0,0,23.56,0,0.98,19.63,0.98,3.93
 84-94,0,0,0,32.92,0,2.12,42.48,4.25,10.62,12.74,49.92,7.43,0,2.12,0,1.06,13.81,2.12,4.25,0,147.62,1.06,3.19,11.68,43.54,3.19,1.06,7.43,0,0,0,0,0,2.12,0,0,12.74,0,4.25,20.18,4.25,2.12
 96-106,0,0,0,30.6,1.09,1.09,36.06,0,4.37,5.46,46.99,3.28,0,4.37,1.09,0,7.65,1.09,1.09,0,128.96,0,2.19,9.84,38.25,0,0,7.65,0,2.19,3.28,0,0,3.28,0,0,7.65,1.09,3.28,29.51,1.09,6.56
108-118,0,0,0.77,34.47,0,1.53,26.81,0,11.49,7.66,46.72,1.53,0,0.77,0.77,1.53,21.45,0.77,8.43,1.53,90.38,0,5.36,14.55,47.49,0,0,15.32,0,0,0.77,0,0,0.77,0,0,1.53,0,4.6,19.92,2.3,8.43
120,0,0,0,43.12,0,0,25.48,1.96,5.88,7.84,50.95,7.84,0,0,1.96,1.96,15.68,0,5.88,0,96.03,0,5.88,13.72,33.32,0,0,7.84,0,0,0,0,0,1.96,0,0,5.88,0,0,9.8,7.84,1.96
