stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,2,0,2,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,2.46,0,0,13.13,0,0.82,1.64,0.82,1.64,0,0,0
 36-46,0,0.81,0,3.22,0,0,0.81,0,0.81,0,0.81,0,0.81,0,0,20.14,0,0,1.61,0,1.61,0,0.81,0
 48-58,0,0,0,4.59,0,0,2.3,0,0.57,0,0,1.15,2.3,0,0,11.48,0,0,0,0,2.3,0,0,0
 60-70,0,0.98,0,3.93,0,0,0,0,0,0,0,0,1.96,0,0,15.7,0.98,0,1.96,0,4.91,0,0,0
 72-82,0.98,0,0.98,6.87,0.98,1.96,0.98,0.98,0.98,0.98,0,0,2.94,0,0.98,22.58,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,5.31,0,0,2.12,1.06,0,5.31,0,0,4.25,1.06,1.06,5.31,0,0,4.25,0,0,0,3.19,0
 96-106,1.09,2.19,1.09,1.09,0,0,0,0,0,3.28,0,0,4.37,0,0,1.09,2.19,0,1.09,0,1.09,0,3.28,1.09
108-118,0,0,0,2.3,0,0,0.77,2.3,0,4.6,0.77,0,4.6,0,0,12.26,0,0,0,0,0,0,3.06,0
120,0,0,0,1.96,0,0,0,0,0,7.84,0,0,0,1.96,0,15.68,0,0,1.96,0,0,0,1.96,0
