stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste
  3-4,144.96,2095.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0
  5-6,24.52,490.37,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,28.92,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,12,1,0
 24-34,0,0,0,0,0.82,0,0.82,0,0.82,0,0,0.82,3.28,0,0.82,0,0.82,0,0,1.64,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,2.3,0,0,0,2.87,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
