stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,576.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,10.51,0,0,0,31.54,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,257.61,23.66,0,0,94.63,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,28.32,0,0,0,31.47,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,349.31,15.73,0,0,160.5,0,6.29,3.15,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,1,1,9,210,11,0,35,5,0,11,11,1,0,3,5,2,3,3,4,74,0,0,63,355,27,3,7,8,0,32,0,55,11,0,33,168,0,0,12,0,7
 24-34,0,0,1.64,7.39,73.88,4.1,0,96.04,11.49,4.1,22.98,4.93,2.46,4.1,17.24,17.24,2.46,3.28,3.28,19.7,190.44,6.57,0.82,114.1,745.34,10.67,14.78,6.57,0,0,72.24,0,0,10.67,0.82,9.85,183.05,0,0,41.86,0,22.98
 36-46,0,0,0,0,16.92,0.81,0,114.41,3.22,15.31,36.26,0.81,0,4.03,13.7,0,3.22,4.83,1.61,9.67,184.5,0,4.03,59.62,559.13,4.03,27.39,3.22,0,0.81,71.7,0,0,7.25,0,0,145.02,0,0,21.75,0,8.86
 48-58,0,0,0.57,0.57,8.03,0,0,151.48,3.44,18.94,74.02,1.15,10.9,3.44,12.05,1.15,4.59,4.02,0.57,8.03,210.01,3.44,1.72,42.46,337.97,2.87,12.05,9.75,0,1.15,44.18,0.57,0,2.3,0,0,109.02,0,0,28.12,0,8.03
 60-70,0,0,0.98,0,21.59,1.96,0,228.69,5.89,11.78,106,1.96,1.96,1.96,15.7,1.96,4.91,1.96,2.94,1.96,238.51,2.94,3.93,27.48,273.84,0,14.72,4.91,0,1.96,47.11,0,0,4.91,0,0,67.73,0,5.89,20.61,0.98,8.83
 72-82,0,0,4.91,0,24.54,15.71,0,262.1,1.96,20.61,119.76,7.85,2.94,7.85,37.3,8.83,1.96,6.87,2.94,1.96,390.7,4.91,7.85,36.32,277.81,1.96,29.45,19.63,0,2.94,42.21,0.98,0,15.71,0,0,36.32,5.89,8.83,38.28,8.83,5.89
 84-94,0,0,3.19,0,65.85,14.87,0,209.22,16.99,16.99,88.15,27.61,7.43,1.06,53.1,9.56,12.74,6.37,1.06,4.25,241.08,4.25,13.81,26.55,159.31,5.31,18.05,15.93,0,2.12,158.24,0,0,32.92,1.06,0,24.43,8.5,9.56,43.54,6.37,6.37
 96-106,0,0,4.37,0,75.41,14.21,1.09,158.46,9.84,7.65,96.17,27.32,1.09,8.74,57.92,14.21,15.3,20.76,6.56,4.37,238.24,10.93,8.74,22.95,158.46,3.28,40.44,25.14,0,3.28,132.23,0,0,38.25,0,0,14.21,15.3,13.11,50.27,9.84,7.65
108-118,0,0,1.53,0.77,92.68,13.79,3.06,143.24,23.74,11.49,78.89,29.87,0,2.3,52.85,13.79,14.55,9.19,6.13,4.6,183.07,9.96,5.36,16.09,180.77,3.06,33.7,20.68,0,6.89,91.15,0.77,0,25.28,0.77,0,6.13,11.49,1.53,39.83,4.6,6.89
120,0,0,1.96,0,31.36,7.84,1.96,74.47,7.84,9.8,50.95,27.44,0,1.96,52.91,9.8,13.72,5.88,3.92,1.96,119.55,5.88,5.88,7.84,119.55,7.84,21.56,13.72,0,7.84,123.47,0,0,17.64,0,0,3.92,11.76,0,25.48,5.88,0
