stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,spinal_cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,15.73,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,4.93,0,0,82.09,0,0
 36-46,0,0,0,0.81,1.61,0.81,0,0,0,0,0,0,0,6.45,0,0,87.01,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,2.87,0,0,34.43,0,0
 60-70,0,0,0,2.94,0,0,0,0,0,0,0,0,0,1.96,0,0,39.26,0.98,0
 72-82,0,0.98,0.98,0.98,0.98,0,0,0,0,2.94,0.98,0,0,0,0,0,31.41,0,0.98
 84-94,0,0,0,0,1.06,1.06,0,0,1.06,0,0,0,0,1.06,0,0,83.9,1.06,0
 96-106,0,1.09,0,3.28,0,0,0,1.09,1.09,1.09,0,0,1.09,3.28,0,0,100.54,0,0
108-118,0,1.53,0.77,0,2.3,0.77,0,0,2.3,0,0,0,0,3.06,0,0.77,59.75,0,0
120,0,1.96,0,1.96,1.96,0,0,0,3.92,0,3.92,0,0,1.96,0,0,41.16,1.96,0
