stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,4.93,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,2.42,0,0,0,2.42,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,4.59,0,1.15,0.57,0,0,0,0,0,2.87,0,0,2.3,1.72,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,6.87,0.98,0,0,0,0,0,0,0.98,5.89,0,0.98,0,7.85,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,7.85,0,0,0,0,11.78,0,0,1.96,2.94,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,6.37,1.06,0,1.06,0,5.31,0,0,3.19,0,0,0,0,2.12,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,2.19,0,1.09,0,92.89,1.09,0,0,1.09,7.65,0,0,1.09,33.88,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,1.53,0.77,0.77,0,0.77,1.53,208.34,0,0,0,3.06,7.66,0,0,1.53,32.94,0.77,0,0,0.77,0,0.77,0.77,0.77,0
120,0,1.96,0,0,0,0,0,0,0,174.42,0,1.96,0,5.88,1.96,1.96,0,1.96,27.44,0,0,0,1.96,0,0,0,1.96,0
