stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,58,0,2,0,0,0,1,0,2,91,0,0,0,0,0
 24-34,0,0.82,2.46,0.82,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,2.46,614,0,9.85,1.64,0,0.82,0,0,0.82,275.81,0,0,0.82,0,0
 36-46,0,0,2.42,0.81,0,20.14,0,0,0,3.22,0,0,0,0.81,0.81,0,0,0.81,8.06,0,0,2.42,1635.51,0.81,12.89,0,0,0,0,0,0,443.92,0,0,0.81,0,0
 48-58,0,0,8.61,0,0,103.86,0.57,0,0.57,19.51,0,0,0,0.57,0.57,0,0.57,0.57,14.35,0,0,3.44,2315.3,2.3,10.9,0,0,2.87,0,0,0,445.27,0,0,0.57,0,4.59
 60-70,0,0,5.89,0,0,152.14,0,1.96,0,23.56,0,0,1.96,0,0.98,0.98,0,1.96,18.65,0,1.96,1.96,2921.01,0,10.8,0,0.98,3.93,0,0,0,348.44,0,0,1.96,0,1.96
 72-82,0,0,12.76,0.98,0,226.76,0,1.96,1.96,46.14,0.98,0,0.98,0.98,1.96,0,0,0,41.23,0,0,1.96,2292.18,0.98,8.83,0.98,0,1.96,0,0,0,190.44,1.96,0,1.96,0.98,1.96
 84-94,0,0,13.81,5.31,0,196.48,0,1.06,1.06,50.98,1.06,1.06,2.12,1.06,3.19,1.06,0,0,25.49,0,0,3.19,1206.47,1.06,6.37,0,0,1.06,0,0,0,100.89,1.06,2.12,2.12,1.06,0
 96-106,0,0,12.02,2.19,0,137.7,0,0,0,38.25,0,0,2.19,0,1.09,0,5.46,0,21.86,0,1.09,1.09,914.71,1.09,9.84,0,0,2.19,0,0,0,43.71,0,3.28,1.09,0,0
108-118,0,0,16.09,2.3,0.77,92.68,0.77,0.77,1.53,36.77,0,0.77,0.77,0,2.3,0,0,0,22.98,0,0,0.77,1062.39,0,8.43,0.77,0,0.77,0,0.77,0,42.13,0.77,0,1.53,0.77,0
120,0,0,41.16,3.92,1.96,145.02,0,1.96,0,37.24,1.96,0,3.92,0,0,0,3.92,0,21.56,3.92,1.96,7.84,1324.82,0,13.72,1.96,0,5.88,0,0,0,68.59,0,0,1.96,0,0
