stage,blastomeres,epidermis,eye,glial,liver,mesenchyme,mural.cell,muscle,neural,otic,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,2,0,0,0,2,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,0,5.75,0,2.46,0
 36-46,0,0.81,0.81,0,0,3.22,0,0,10.47,0,2.42,0
 48-58,0,0,0.57,0,0,1.15,0,0,14.92,0,1.15,0
 60-70,0,0,0.98,1.96,0,1.96,0.98,0,35.33,0,3.93,0
 72-82,0,0,2.94,0,0,1.96,0,0,29.45,0,1.96,0
 84-94,0,0,2.12,0,0,7.43,0,1.06,19.12,0,0,0
 96-106,0,0,2.19,1.09,0,2.19,0,0,12.02,0,2.19,0
108-118,0,0,3.06,0.77,0,3.06,0,0,17.62,0.77,0,0.77
120,0,0,0,1.96,0,1.96,0,0,27.44,0,3.92,0
