stage,blastomeres,epidermis,eye,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,4.03,0.81,0,0,2.42,0,0
 48-58,0,0,3.44,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0
 60-70,0,0,62.82,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0
 72-82,0,1.96,136.45,1.96,0.98,0.98,0,0,0,0,0.98,13.74,0,0,0,0,0.98,0
 84-94,0,0,76.47,6.37,0,0,0,0,0,0,0,7.43,0,0,0,0,1.06,1.06
 96-106,0,0,83.06,4.37,0,0,0,0,0,0,1.09,13.11,0,0,0,0,0,0
108-118,0,1.53,56.68,3.83,0,0,0,0,0,0.77,0,7.66,0,0,0.77,0,0,0
120,0,1.96,31.36,0,0,0,1.96,1.96,0,0,0,15.68,0,0,0,1.96,0,0
