stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,177.76,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,31,1,0,1,0,0,3,0,2,0,1,1,10,0,0,0,0,0
 24-34,0,0,0,0.82,9.03,0,0,4.93,0,0,0,0,0,0.82,0.82,0.82,0,1.64,1.64,0,1.64,0,0,3.28,53.36,0,0,1.64,0,0,14.78,0,0,4.1,0,0,14.78,0,0,5.75,0,0.82
 36-46,0,0,0,0,0.81,0,0,19.34,0.81,0,2.42,0,0,0,0,1.61,0,0.81,0.81,0,1.61,0.81,0,0.81,43.51,0,1.61,0.81,0,0,9.67,0,0,4.83,0,0,11.28,0,0,3.22,0,0
 48-58,0,0,0.57,0,2.87,0,0,24.67,0,0,3.44,0,0,1.15,2.3,0,0.57,0.57,6.31,0,9.75,0.57,0.57,3.44,24.67,0,1.15,1.15,0,0,6.31,0,0,3.44,0,0,6.89,0,0,0.57,0,0.57
 60-70,0,0,0,0,1.96,0,0,36.32,0,0,10.8,8.83,0,0,5.89,0,0,1.96,24.54,0,12.76,1.96,0,1.96,16.69,0.98,2.94,0,0,0,8.83,0,0,12.76,0,0,2.94,0,0,1.96,0,0
 72-82,0,0,1.96,0,5.89,4.91,0,17.67,0.98,0,14.72,86.39,0,0,7.85,0.98,0.98,0,135.47,0,24.54,6.87,0,1.96,47.12,0,3.93,2.94,0,0,14.72,0,0,57.92,0,0,2.94,1.96,1.96,10.8,0,0
 84-94,0,0,1.06,0,9.56,5.31,0,13.81,1.06,2.12,11.68,197.54,1.06,0,16.99,2.12,0,3.19,460.92,0,18.05,2.12,1.06,0,41.42,0,3.19,3.19,0,0,33.99,0,0,130.63,0,0,0,2.12,0,7.43,0,0
 96-106,0,0,3.28,0,10.93,5.46,0,21.86,2.19,0,15.3,336.6,0,2.19,34.97,3.28,0,4.37,707.07,1.09,26.23,5.46,2.19,5.46,120.21,1.09,5.46,4.37,0,1.09,19.67,0,0,151.91,0,0,6.56,3.28,1.09,12.02,0,1.09
108-118,0,0,1.53,0,10.72,2.3,2.3,21.45,3.83,1.53,19.15,403.66,0,0,14.55,1.53,2.3,1.53,1364.95,1.53,22.21,2.3,2.3,1.53,104.94,0,0,2.3,0,0,17.62,0,0,146.3,0,0,2.3,1.53,0,6.89,0,0
120,0,0,0,0,1.96,0,0,3.92,1.96,0,7.84,221.46,0,0,13.72,3.92,1.96,1.96,570.3,0,5.88,0,0,1.96,48.99,0,3.92,0,0,1.96,17.64,0,0,97.99,0,0,0,0,0,3.92,1.96,0
