stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,704.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,2.63,0,0,0,18.4,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,173.5,0,0,0,68.35,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,3.15,0,28.32,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,176.23,12.59,0,0,59.79,0,3.15,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,8,1,0,1,0,0,1,1,7,0,0,2,0,0,0,0,2,0,0,0,29,0,0,0,0,6,0,2,1,0,1,14,0,0,0,0
 24-34,0,0,0.82,1.64,2.46,0.82,0,3.28,0.82,0.82,1.64,0,2.46,0,0,10.67,0,0,0,0.82,4.93,3.28,0,1.64,34.48,0.82,0.82,5.75,0,14.78,0,0,1.64,0,2.46,18.06,0,4.1,0,0
 36-46,0,0,0,0,2.42,0,0,3.22,0,0,4.83,0,0,0,0,0.81,0,0,0,1.61,14.5,5.64,0,3.22,36.26,0,2.42,0,0,18.53,0,0,2.42,0,0,11.28,0,1.61,0,0.81
 48-58,0.57,0,0,0,1.15,0,0,5.74,0.57,1.15,6.31,1.15,0.57,0,0.57,0.57,0,1.15,0,0,17.21,10.33,0,2.87,24.67,0,1.15,0.57,0,12.05,0,0,1.15,0,0,10.33,0,2.87,0,0.57
 60-70,0,0,0,0,5.89,0,0,6.87,0.98,0,17.67,1.96,0.98,0,0.98,0,0,0.98,0,0,31.41,9.82,0.98,0.98,29.45,0,0,4.91,0,21.59,0,0,3.93,0,0,12.76,0,0,0.98,0
 72-82,0,0,0,0,2.94,2.94,2.94,12.76,0.98,0,16.69,9.82,1.96,1.96,0.98,5.89,0.98,0.98,0,0,34.36,21.6,0.98,2.94,26.5,0,0,7.85,0,40.25,0,0,2.94,0.98,0,5.89,1.96,2.94,0,0.98
 84-94,0,0,3.19,0,6.37,1.06,6.37,10.62,2.12,2.12,13.81,10.62,0,2.12,1.06,6.37,0,1.06,1.06,0,13.81,10.62,0,3.19,13.81,0,3.19,2.12,0,90.27,0,0,3.19,0,0,4.25,0,5.31,1.06,0
 96-106,0,0,0,0,15.3,0,10.93,4.37,3.28,0,16.39,15.3,0,2.19,1.09,7.65,0,3.28,2.19,0,14.21,15.3,2.19,1.09,15.3,0,3.28,4.37,0,96.17,0,0,2.19,0,0,1.09,1.09,4.37,2.19,1.09
108-118,0,0,0.77,0,17.62,0,30.64,8.43,4.6,0.77,20.68,19.15,0,0.77,0,4.6,3.06,1.53,2.3,0,17.62,8.43,0.77,0,13.02,0.77,0.77,3.06,0,69.7,0,0,0.77,0,0,0.77,1.53,1.53,1.53,0.77
120,0,0,1.96,0,39.2,0,7.84,13.72,0,0,5.88,13.72,0,0,0,5.88,0,0,0,0,9.8,15.68,3.92,0,11.76,0,1.96,5.88,0,56.83,0,0,1.96,0,0,0,0,5.88,0,0
