stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,15.77,0,10.51,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,1
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,6.57,0.82,0,1.64,0,1.64,3.28,0,0
 36-46,0,0,0,0,0.81,1.61,0,0.81,0,0,0,7.25,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0.57,0,0,0,2.3,0.57,4.02,0.57,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,4.91,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,3.92,0,0,0,1.96,0,0,3.92,0,0,0,0,0
