stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,5,35,6,0,26,0,0,0,8,3,4,3,0,2,0,0,3,2,27,0,0,21,252,14,1,1,4,0,1,1,51,8,16,87,80,0,0,2,0,1
 24-34,0.82,1.64,0.82,22.16,1.64,0,52.53,0.82,1.64,4.1,9.03,1.64,0,3.28,3.28,11.49,1.64,1.64,2.46,1.64,42.68,1.64,0,31.19,289.76,1.64,0.82,3.28,0,0,1.64,0,0,19.7,7.39,25.45,82.91,0,0,8.21,0,7.39
 36-46,0,0,0,7.25,0,0,45.12,3.22,0,1.61,24.98,0,0,0,0,2.42,2.42,0,0,4.03,52.37,0.81,0.81,10.47,165.16,1.61,2.42,2.42,0,0.81,0.81,0,0,6.45,0.81,0.81,45.92,0,0,5.64,0.81,4.83
 48-58,0,0,1.15,4.59,1.72,0,107.88,0.57,2.3,2.87,36.15,1.15,0.57,0.57,1.15,1.72,5.16,4.02,1.72,1.15,84.35,1.72,1.72,12.62,142.88,0.57,1.15,4.59,0,0.57,0.57,0,0,8.03,1.72,0,43.04,0,1.15,8.03,0,12.05
 60-70,0,0.98,0.98,5.89,0.98,0,132.51,1.96,5.89,2.94,55.95,10.8,0,2.94,4.91,0.98,3.93,2.94,3.93,0.98,114.84,0.98,2.94,9.82,117.78,0,0.98,2.94,0,1.96,0.98,0,0,9.82,1.96,0,22.58,0.98,2.94,4.91,0,5.89
 72-82,0,2.94,0,7.85,1.96,0,132.52,1.96,0.98,10.8,97.18,24.54,0,2.94,8.83,2.94,5.89,4.91,13.74,0.98,133.51,0.98,6.87,16.69,161.97,0.98,2.94,8.83,0,0.98,0.98,0,0,20.61,0,0,20.61,0,1.96,19.63,4.91,10.8
 84-94,0,3.19,0,23.36,5.31,1.06,99.83,0,0,7.43,59.47,27.61,2.12,1.06,9.56,8.5,8.5,4.25,18.05,2.12,108.33,4.25,9.56,23.36,78.59,0,3.19,8.5,0,0,16.99,1.06,0,65.85,2.12,0,12.74,5.31,6.37,11.68,4.25,9.56
 96-106,0,6.56,1.09,20.76,3.28,0,102.73,6.56,0,3.28,63.39,50.27,1.09,10.93,14.21,2.19,5.46,8.74,22.95,3.28,103.82,3.28,5.46,7.65,111.47,0,2.19,12.02,0,4.37,7.65,0,0,61.2,2.19,0,2.19,4.37,5.46,20.76,12.02,5.46
108-118,0,2.3,0.77,22.21,3.06,1.53,68.94,3.83,6.13,4.6,62.81,52.85,0,1.53,8.43,4.6,6.89,7.66,29.87,1.53,103.41,1.53,3.83,23.74,102.64,4.6,3.06,11.49,0,3.83,6.13,0,0,41.36,6.13,0,8.43,7.66,3.83,12.26,3.83,7.66
120,0,1.96,0,17.64,17.64,0,48.99,1.96,5.88,1.96,31.36,41.16,0,3.92,13.72,7.84,0,5.88,37.24,5.88,74.47,1.96,3.92,23.52,82.31,5.88,5.88,3.92,0,7.84,3.92,0,0,43.12,0,0,3.92,1.96,1.96,9.8,1.96,0
