stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,925.57,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,0,26.29,0,0,0,44.69,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,333.85,21.03,0,0,178.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,34.62,0,3.15,0,25.18,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,283.23,6.29,0,0,78.67,0,3.15,3.15,12.59,0,3.15,0,0,0,0
 14-21,0,0,0,0,18,3,0,10,0,0,1,1,0,2,0,0,0,0,0,3,0,0,6,127,4,1,2,3,0,2,28,1,20,43,0,1,0,0
 24-34,0,0,0,0,7.39,0,0,14.78,0,0,7.39,0,0,0.82,0.82,0,0,0,0,22.98,0,0,6.57,152.68,0,1.64,0.82,0,0.82,6.57,0,0,4.93,33.66,0,2.46,0,0.82
 36-46,0,0,0,0,2.42,0,0,19.34,0,2.42,6.45,0,0,0.81,0,0,0,0,0,16.11,0,0.81,2.42,65.26,0,1.61,1.61,0,0,0.81,0,0,0,19.34,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,0,28.69,0,0.57,10.9,0,0,0.57,0,0,0,0,0,20.66,0,2.87,2.3,61.4,0,1.15,1.72,0,0,2.3,0,0,0.57,12.62,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,15.7,0.98,0,3.93,0,0,0,0,0,0,0,0.98,19.63,0,0,0.98,28.46,0,0,0,0,0,0.98,0,0,0,5.89,0,1.96,0,0.98
 72-82,0,0,0.98,0,3.93,0.98,0,16.69,0,0,17.67,0.98,0,0,1.96,0,0.98,0.98,0,39.27,0.98,1.96,1.96,38.28,0,0,0,0,0,0.98,0,0,0,5.89,0,1.96,0.98,1.96
 84-94,0,0,1.06,0,2.12,0,0,4.25,1.06,0,3.19,1.06,0,0,0,1.06,0,0,0,13.81,0,0,3.19,16.99,0,0,2.12,0,1.06,1.06,0,0,0,2.12,0,3.19,0,0
 96-106,0,0,2.19,0,2.19,0,0,5.46,0,0,4.37,0,0,2.19,0,2.19,0,0,0,7.65,0,0,3.28,22.95,0,0,1.09,0,2.19,2.19,0,0,0,2.19,0,2.19,2.19,1.09
108-118,0,0,0,0,3.83,0,0.77,7.66,0.77,0.77,5.36,1.53,0,0,0,1.53,0.77,0,0,17.62,0,1.53,5.36,11.49,0,0,0,0,0.77,1.53,0,0,0,0.77,1.53,1.53,0,0.77
120,0,0,0,0,0,0,0,11.76,0,1.96,9.8,0,0,0,3.92,0,1.96,0,0,7.84,0,0,1.96,11.76,0,0,3.92,0,0,1.96,0,0,0,0,1.96,0,0,0
