stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,2,11,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,67,2,0,0,2,0,1,8,0,1,9,26,0,0,0,0,0
 24-34,0,0.82,3.28,1.64,0,15.6,0,0,1.64,2.46,0,0,0,0,0.82,0,0.82,0.82,0,11.49,0,0.82,6.57,147.75,0,0.82,0,0,0,4.93,0,0.82,0,1.64,33.66,0,0,4.1,0,0
 36-46,0,0,3.22,0,0,44.31,0.81,0,0.81,7.25,0,0,0,0,0,0,0.81,0.81,0.81,12.89,0,0,2.42,189.33,0.81,1.61,0.81,0,0,4.03,0,0.81,0,0,42.7,0,0,0.81,0,3.22
 48-58,0,0,2.3,0,0,64.27,0,0.57,0.57,5.74,0,0,0,0.57,0,0,0,0,0.57,21.23,0.57,0.57,4.59,160.67,0,1.15,0.57,0,0,0,0,0,0,0,35,0,0,1.72,0,1.15
 60-70,0,0,2.94,1.96,0,127.6,0,0.98,0,13.74,0,0,0,0,0,0.98,0.98,0,0,19.63,0,0,0.98,248.33,0,0.98,0,0,0,2.94,0,0.98,0,0,32.39,0.98,0,0.98,0,1.96
 72-82,1.96,0,4.91,8.83,0,100.13,0.98,0.98,0,21.6,0.98,0,0.98,0.98,0,0,0,0,0,27.49,0.98,0,2.94,172.77,0,0,0,0,0.98,4.91,0,0,0.98,0,11.78,1.96,0.98,1.96,0.98,0
 84-94,0,0,8.5,12.74,0,63.72,1.06,0,0,20.18,2.12,1.06,0,7.43,0,0,2.12,0,0,25.49,0,1.06,1.06,88.15,3.19,1.06,0,0,0,10.62,0,0,0,0,5.31,0,3.19,2.12,0,0
 96-106,1.09,1.09,5.46,7.65,0,72.13,0,0,1.09,17.49,2.19,0,0,4.37,0,0,1.09,0,0,27.32,0,2.19,5.46,79.78,0,1.09,1.09,0,0,3.28,0,0,0,0,2.19,2.19,0,7.65,3.28,2.19
108-118,0.77,0.77,5.36,9.96,0.77,40.6,0.77,1.53,1.53,13.02,0,0,1.53,4.6,3.06,1.53,0.77,0,0,20.68,0,0,1.53,103.41,0.77,1.53,0,0,0,6.89,0,0,0,0,3.83,0.77,0,2.3,1.53,0.77
120,1.96,0,13.72,7.84,1.96,39.2,3.92,1.96,0,21.56,1.96,0,0,3.92,0,0,1.96,0,0,13.72,0,0,3.92,64.67,0,1.96,0,0,0,5.88,0,0,0,0,1.96,1.96,0,1.96,0,1.96
