stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,18.4,0,0,0,13.14,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,1,1
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,16.42,0,0.82,0,0,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,1.61,0,0,0,8.86,0,0,0,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.87,0,0,0,0,2.87,0,0,0,5.74,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,0,0,0,0.98,0,0,0.98,4.91,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,15.71,0.98,1.96,0.98,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,19.12,0,0,0,1.06,3.19,2.12,0,0,4.25,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,19.67,0,0,0,0,2.19,1.09,0,0,8.74,0,0,0,0,0,0,0,0,0,0
108-118,0,1.53,0,0.77,22.21,0,0.77,0,0,0.77,0.77,0.77,0,3.06,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
