stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,6,3,0,0,0,0,0
 24-34,0,0,0,35.3,0,0,0,6.57,0.82,0,0,3.28,0,0,0,0,0.82,0.82,0,0.82,5.75,0,0,0,0,1.64,0,0.82,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,22.56,1.61,0.81,0,4.83,0,0,0.81,1.61,0.81,0,0,0,2.42,0,0.81,0.81,7.25,0,0,0,0,0.81,0,0,0,2.42,0,0,0.81,0,0
 48-58,0,0,0,16.07,2.3,1.72,0,2.3,0,0,0,3.44,0,0,0,0.57,0,0,0,0,1.72,0.57,0,0,0,0.57,0,1.72,0,0,0,0,0,0,0.57
 60-70,0,0,0,15.7,7.85,3.93,0,7.85,0.98,0,0,3.93,0.98,0.98,0,0,1.96,0.98,1.96,0,3.93,1.96,0,0,0,2.94,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,0,16.69,15.71,2.94,0,2.94,0.98,1.96,0,12.76,0.98,0,0,0,1.96,0,2.94,0,7.85,0,0.98,0,0,10.8,0,0.98,0,0,7.85,2.94,2.94,1.96,0
 84-94,0,0,1.06,31.86,23.36,0,0,8.5,0,2.12,0,9.56,3.19,0,0,0,4.25,0,2.12,0,2.12,0,0,0,0,16.99,2.12,1.06,0,0,9.56,1.06,1.06,6.37,0
 96-106,0,0,0,31.69,9.84,4.37,0,6.56,0,3.28,0,12.02,4.37,0,0,0,6.56,0,1.09,1.09,3.28,0,0,0,0,41.53,3.28,4.37,0,0,8.74,1.09,2.19,8.74,0
108-118,0,0,0,45.96,16.85,0.77,1.53,10.72,1.53,2.3,0,10.72,1.53,0,0,0,3.83,0.77,3.83,0,3.83,0,0.77,0,0.77,49.79,0.77,2.3,0,0.77,19.15,0,0.77,3.06,0
120,0,0,0,33.32,17.64,3.92,1.96,9.8,0,9.8,0,19.6,1.96,0,3.92,0,3.92,5.88,1.96,0,9.8,0,0,0,0,41.16,0,3.92,0,0,5.88,0,0,3.92,0
