stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,2,3,2,0,0,0,1,0,0,0,0,0,0,12,1,0,1,1,1,1,0,2,3,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0.82,0.82,0,0.82,0,0.82,12.31,0,0,0,0,4.1,0,0,0,2.46,0,4.1,0
 36-46,0,0,0,4.83,0,0,0,0,0,0,0,0.81,0,0.81,38.67,0,0,0,0,2.42,0,0,0,4.03,0,4.03,0
 48-58,0,0.57,0,4.59,0,0,0,0,0,0,0,1.15,0,0,14.35,0,0,0,0,2.3,0,0,0,4.02,0,3.44,0
 60-70,0,0,0,16.69,0,0.98,2.94,0,0,0.98,0,5.89,0,0,33.37,0,0,0.98,0,1.96,0,0.98,0,4.91,0,2.94,0
 72-82,0.98,0,0,3.93,0,0,1.96,0.98,1.96,0.98,0,4.91,0.98,0,11.78,0,0,0,0,1.96,0,0,0,3.93,0,5.89,0.98
 84-94,0,3.19,0,3.19,0,0,2.12,0,0,3.19,0,3.19,0,0,2.12,0,0,0,0,4.25,0,0,0,2.12,0,6.37,0
 96-106,0,2.19,0,2.19,0,0,0,0,3.28,2.19,0,2.19,0,0,5.46,0,1.09,0,0,4.37,0,0,0,0,0,3.28,0
108-118,0,1.53,0,3.83,1.53,0,0,0,0,1.53,0.77,3.06,0,0,9.19,0,0,0,0,0,0,0,0,0.77,0.77,5.36,0
120,0,5.88,1.96,1.96,0,0,3.92,0,0,5.88,0,0,0,0,1.96,0,0,0,0,7.84,0,0,0,0,0,0,0
