stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,5.75,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,3.22,0,4.03,0,0
 48-58,0,0,0.57,0,0,0,0,0,3.44,0,2.87,0,4.59,0,9.18,0.57,0
 60-70,0,0.98,0.98,0,0,0,0.98,0.98,11.78,0,8.83,0.98,11.78,0,21.59,0.98,0
 72-82,0.98,0,0.98,0,0.98,0,0,0,20.61,0,8.83,0,16.69,0,38.28,0,0
 84-94,0,0,2.12,0,0,0,0,0,22.3,1.06,4.25,0,6.37,4.25,54.16,0,0
 96-106,1.09,0,2.19,1.09,0,1.09,1.09,0,45.9,0,2.19,1.09,3.28,0,71.04,1.09,1.09
108-118,3.06,0,0.77,0,0,0,0,0,26.04,0,1.53,0,9.19,0,38.3,0,0
120,0,0,0,0,1.96,0,0,0,21.56,0,1.96,0,11.76,0,33.32,0,1.96
