stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.89,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,4,0,0,1,0,0,0,0,0,0,2,6,0,0,0,0,0,1,0,0,5,2,0,0
 24-34,0,0.82,0,0,3.28,0.82,0,0,0,1.64,0,0,18.06,0,0,0,0,0,0,0,0,1.64,2.46,0,0.82
 36-46,0,0,0,0,2.42,0,0,0,0,2.42,0,0.81,9.67,0,0,0,0,0.81,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,2.87,1.15,1.72,0,0,1.15,0,0.57,3.44,0,0.57,0,0,0.57,0,0,0.57,0,2.3,0.57,0
 60-70,0,1.96,0,0,0.98,0,0.98,0,0,2.94,0,1.96,4.91,0,0,1.96,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0.98,0,0,2.94,0,0.98,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,1.06,2.12,1.06,0,1.06,0,0,1.06,0,2.12,1.06,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,0,1.09,0,0,0,0,2.19,0,0,2.19,0,0,0,0,3.28,0,0,0,0,0,0,0
108-118,0,0,0.77,0,2.3,0,2.3,0,0,0.77,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
120,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0
