stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,13.7,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0.57,10.33,0,0.57,0,0,0,0,1.72,0,0,0
 60-70,0,0,9.82,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0.98,0.98,0,0.98
 72-82,0,0,18.65,0,0,2.94,0,0,0,0,0,0.98,0,0,0,1.96,2.94,0,8.83,0,0,0,0,0.98,0,1.96,3.93,0.98,0
 84-94,0,2.12,32.92,0,0,0,0,0,1.06,1.06,0,0,0,1.06,0,0,2.12,0,9.56,0,0,0,0,0,0,0,5.31,0,0
 96-106,0,1.09,36.06,0,1.09,1.09,0,2.19,0,0,3.28,0,1.09,0,1.09,0,2.19,0,3.28,0,0,0,0,3.28,0,0,5.46,0,0
108-118,0,0,21.45,0.77,0,3.06,0,1.53,0,0.77,4.6,0,0.77,0,0.77,0,0,0,13.79,0,0,0.77,0.77,0,1.53,0,2.3,0,0
120,0,0,31.36,0,0,5.88,1.96,3.92,0,1.96,5.88,1.96,0,0,1.96,0,1.96,0,15.68,1.96,3.92,0,0,0,0,0,1.96,0,0
