stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,909.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,24.52,545.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,12.26,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,5.26,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,9.44,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,10,0,0,3,0,0,2,1,0,1,0,1,0,0,0,0,5,0,0,5,33,0,0,0,2,0,4,0,0,0,7,0,0,1,0,0
 24-34,0,0,0,1.64,4.93,0,0,6.57,0.82,0,2.46,0,0,0,0,0,0,0,0,0,9.85,0,0,4.93,96.86,0,0,0,0,0,13.95,0,0.82,0.82,22.98,0,0,6.57,0,1.64
 36-46,0,0,0,0,2.42,0,0,25.78,0,0,6.45,0,0,0,0,0,0,0.81,0,3.22,12.89,0,0.81,4.03,72.51,0.81,3.22,0,0,0,6.45,0,0.81,0,30.62,0,0,0.81,0,2.42
 48-58,0,0,0,0,2.87,0,0,28.69,1.15,0,16.07,0.57,0,1.15,0,0,1.15,1.15,0,3.44,19.51,0,0.57,2.87,82.63,0.57,1.15,1.15,0,0,6.89,0,0,0,20.08,0,0,2.87,0,0.57
 60-70,0,0,0,0,6.87,0,0,71.65,1.96,0.98,26.5,2.94,0,0.98,0.98,0.98,0,0.98,0.98,0.98,39.26,0,1.96,2.94,141.34,0,4.91,1.96,0,0,3.93,0,0,0,23.56,0,0.98,3.93,0,0
 72-82,0,0,2.94,0,6.87,0,0,58.9,0.98,1.96,46.14,1.96,0,0,1.96,0,0,1.96,0.98,0,46.14,0.98,1.96,2.94,85.4,0,1.96,2.94,0,0,2.94,0,0,0,12.76,0,1.96,4.91,0.98,2.94
 84-94,0,0,1.06,0,15.93,1.06,0,50.98,0,1.06,18.05,1.06,0,0,0,2.12,2.12,0,0,3.19,39.3,2.12,1.06,1.06,61.6,3.19,3.19,3.19,0,0,11.68,0,0,0,6.37,0,0,1.06,1.06,1.06
 96-106,0,0,0,0,4.37,0,2.19,40.44,1.09,1.09,20.76,1.09,0,0,2.19,1.09,2.19,1.09,1.09,0,24.04,1.09,2.19,2.19,46.99,0,4.37,3.28,0,0,5.46,0,0,0,2.19,4.37,0,6.56,2.19,0
108-118,0,0,0,0,4.6,0.77,0.77,30.64,1.53,0,16.09,4.6,0,1.53,0,0,3.06,2.3,0,0,21.45,0,0.77,3.06,58.98,0,3.83,0,0,0.77,6.89,0,0,0,4.6,0,0.77,3.06,0,0
120,0,0,1.96,0,3.92,0,0,31.36,1.96,1.96,17.64,1.96,0,0,0,0,0,0,0,1.96,5.88,0,0,1.96,90.15,1.96,1.96,1.96,0,0,1.96,0,0,0,3.92,0,0,3.92,0,0
