stage,blastomeres,epidermis,eye,fast_muscle,glial,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,1.64,0,0,0,1.64,1.64,8.21,0,0.82,1.64,0,0,0.82,2.46,0
 36-46,0,0,0,0,0.81,0,0.81,0,7.25,0,0,0.81,0,0.81,0.81,4.03,0.81
 48-58,0,0,1.15,0.57,1.15,0,0,0,1.72,0,1.15,0,0,0.57,1.72,1.15,0
 60-70,0,0.98,0,0,0,0,0.98,0,0.98,0.98,3.93,0,0.98,0,0,0,0
 72-82,0,0,2.94,0,4.91,0.98,0.98,0.98,7.85,0,7.85,0,0,0,0,3.93,0
 84-94,0,0,0,0,1.06,0,1.06,0,3.19,0,1.06,0,0,0,1.06,3.19,0
 96-106,0,0,0,0,2.19,2.19,0,0,2.19,0,13.11,4.37,0,0,0,3.28,0
108-118,0,0,0.77,0,0.77,0.77,1.53,0,4.6,0,0.77,2.3,0,0,0,0.77,0
120,0,0,0,0,1.96,1.96,0,0,0,0,7.84,0,0,0,1.96,0,0
