stage,axial,blastomeres,endoderm,eye,hatching.gland,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,26.36,513.94,0,0,0,0,0,0,0,26.36,0,0
  5-6,6.13,300.35,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,2.63,2.63,2.63,0,28.92,5.26,23.66,0,2.63,0
 10-12,0,0,0,0,0,0,40.91,0,9.44,0,6.29,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0
