stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,18,1,1,0,0,2,0,0,0,0,0,0,0,3,0,6,33,0,0,0,0,1,0,5,0,0,2,11,0,1,0,0
 24-34,0,0,0,11.49,0,4.93,0,0,4.93,0,0,0,0,0,0,0.82,13.13,0,11.49,86.19,4.1,0,0.82,0,2.46,0,0,0,0,0.82,32.01,0,0.82,0,0
 36-46,0,0,0,8.06,0,8.06,0,0.81,4.03,0,0,0,0,0,0,0,12.89,0.81,5.64,44.31,1.61,0,0.81,0,1.61,0,0,0.81,0,0,27.39,0,0,0,0
 48-58,0,0,0,4.59,0.57,14.92,1.72,0.57,8.03,0,0.57,0,0,1.15,0,0,19.51,0,0.57,25.25,0,0.57,1.72,0,1.72,0,0,0,0.57,0,18.36,0,0,0,0
 60-70,0,0,0,5.89,0,19.63,0,1.96,4.91,0,0,0,0.98,0,0.98,0,27.48,0.98,3.93,17.67,0,0,1.96,0,0.98,0,0,0,0,0,9.82,0,0,0,0.98
 72-82,0,0,0,2.94,0.98,10.8,0.98,1.96,5.89,0,0.98,0,0,1.96,0,0,14.72,0,0.98,20.61,0,0,2.94,0,1.96,0,0,0,0,0,3.93,0,0,0,0.98
 84-94,0,0,0,12.74,0,9.56,2.12,0,2.12,1.06,0,1.06,0,0,0,0,15.93,1.06,2.12,8.5,0,0,1.06,0,1.06,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,2.19,0,10.93,1.09,2.19,2.19,1.09,0,0,0,1.09,1.09,0,14.21,1.09,0,8.74,0,0,1.09,0,3.28,0,0,0,0,0,0,1.09,0,1.09,1.09
108-118,0,0,0,7.66,0,12.26,3.06,0,1.53,0.77,0,0,0,0,0,0.77,8.43,0.77,0.77,9.19,0,0.77,2.3,0,1.53,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,17.64,0,13.72,3.92,0,3.92,1.96,1.96,1.96,0,0,3.92,0,11.76,1.96,0,13.72,0,1.96,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,0
