stage,epidermis,fin.epithelia,heart,ionocyte,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,2.42,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0.57,0
 60-70,0,0,0,0.98,0.98,0.98,0,0,0,2.94,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0
 84-94,0,1.06,0,0,0,2.12,0,0,0,9.56,0,0
 96-106,0,0,1.09,0,0,1.09,0,2.19,0,5.46,1.09,1.09
108-118,0,0,0,0,0,0,0,0.77,0,4.6,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0
