stage,epidermis,eye,fast.muscle,gut,immune,mesenchyme,mucous,mural.cell,neural,periderm,pronephros,vasculature
 14-21,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,5.64,0,0.81,0,0.81,0,0,0
 48-58,0,0.57,0,0,10.9,0.57,0,0,0.57,0,0,0.57
 60-70,0,0.98,0,0,9.82,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,21.6,0,0,0.98,2.94,0,0.98,0
 84-94,0,0,0,1.06,20.18,0,0,0,2.12,1.06,0,0
 96-106,0,0,0,0,32.79,0,0,0,1.09,0,0,1.09
108-118,0.77,0,0.77,0,26.81,0,0,0,0,0,0,0.77
120,0,0,0,1.96,11.76,0,0,0,3.92,0,0,3.92
