stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,141,54,1,0,0,0,0
 24-34,0,0,0.82,0,0.82,104.25,0,0.82,1.64,0,0,3.28,0,0.82,0,1.64,0,21.34,29.55,0.82,0,0,0,0.82,0,70.59,90.29,7.39,0,0.82,0,0
 36-46,0,0,0,0,1.61,111.99,0,0,0.81,0,0,0,0,0,0,7.25,0,6.45,24.98,0.81,0.81,0,0,0.81,0,19.34,6.45,4.83,0,0,0,0
 48-58,0,0,0,0.57,20.66,123.94,0,0,1.72,0,0.57,0,0,1.15,0,4.59,0,13.2,21.8,0.57,1.15,0,0,0.57,0,15.49,0,9.18,0,0,0,0
 60-70,0,0,1.96,0,5.89,99.13,0,0,0.98,0,0.98,0.98,0,0,0,6.87,0,10.8,11.78,0.98,0,0.98,0,3.93,0,17.67,0,2.94,0,0.98,0,0
 72-82,0,0,0.98,0.98,5.89,80.5,0,0,0.98,0,0,0,0,0,0,3.93,0,3.93,16.69,0,0,0,0,0.98,0,8.83,0,0.98,0,0.98,1.96,0
 84-94,0,0,4.25,0,7.43,147.62,0,0,2.12,1.06,0,0,0,0,1.06,10.62,0,15.93,14.87,1.06,0,0,0,3.19,0,18.05,0,1.06,0,1.06,1.06,0
 96-106,0,0,4.37,5.46,15.3,169.39,0,0,6.56,1.09,0,0,0,0,0,13.11,1.09,12.02,13.11,0,0,1.09,0,5.46,0,18.58,0,0,0,4.37,1.09,1.09
108-118,0,0,2.3,0.77,7.66,137.11,0,0,0.77,0.77,0,0,1.53,0.77,0,9.96,0,16.85,11.49,0,0,0,0,1.53,0,22.21,0,0.77,1.53,0.77,0,0
120,0,0,0,1.96,1.96,88.19,1.96,0,1.96,0,1.96,0,0,0,0,0,0,11.76,7.84,0,0,0,0,1.96,1.96,7.84,0,0,0,0,0,0
