stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,35,2,1,0,0,1,1,0,0,1,0,0,0,0,4,0,0,9,17,1,0,0,0,3,0,3,0,14,14,0,1,0
 24-34,0,0,0.82,9.85,0,1.64,0.82,0,0,0,0,0,0.82,0,0,0,0,7.39,0,0,1.64,54.18,0.82,0.82,0,0,12.31,0,0,0,0.82,10.67,0,0,0
 36-46,0,0.81,0,4.03,0,1.61,2.42,0,1.61,0,2.42,0,0,0,0,0,0,3.22,0,0.81,1.61,41.89,1.61,0.81,0,0,8.06,0,0,0,0,5.64,0,0,0
 48-58,0,0,0,2.87,0,7.46,0.57,0,6.31,0,0,0,0,1.15,0,0,0,6.89,0,0,1.15,16.64,0.57,0.57,0,0,4.59,0,0,0,0,9.18,0,0,0.57
 60-70,0,0.98,0,4.91,0,4.91,0.98,0,29.45,0,0,0,0,2.94,0,0,0.98,3.93,0.98,0,0.98,38.28,0,0,0,0,6.87,0,0,0,0,3.93,0,0,0
 72-82,0,2.94,0,5.89,0.98,8.83,0.98,0,48.1,4.91,0,0,0,2.94,0,0,0,8.83,0,0,0,44.17,0,0.98,1.96,0,0,0,0,0,0,2.94,0,1.96,0
 84-94,0,3.19,0,1.06,0,6.37,0,1.06,29.74,5.31,0,2.12,1.06,10.62,0,0,0,8.5,0,0,1.06,14.87,0,0,1.06,0,6.37,0,0,0,0,1.06,1.06,0,0
 96-106,0,4.37,0,6.56,0,14.21,1.09,0,29.51,6.56,0,1.09,1.09,2.19,0,0,0,6.56,1.09,0,0,9.84,0,3.28,3.28,0,3.28,0,0,0,0,3.28,1.09,1.09,1.09
108-118,0,0,0,6.13,0,7.66,0.77,0.77,39.83,1.53,0,0.77,0.77,5.36,0,0,0,5.36,0,0,0,21.45,0,0,0,0,0.77,0,0,0.77,0,0.77,0,0.77,0
120,0,1.96,0,7.84,0,7.84,0,0,37.24,0,0,1.96,0,5.88,1.96,1.96,0,0,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0
