stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
 24-34,0.82,0,0,0,0,0,0,0,1.64,0.82,0.82,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,0,0,0.57,0,0,0,0
 60-70,0.98,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,0,0.98,0,1.96,0.98,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,2.12,0,1.06,0,1.06
 96-106,0,0,1.09,0,0,1.09,0,1.09,1.09,0,0,1.09,0,0,0,0
108-118,2.3,0.77,0,0,0,1.53,0.77,1.53,0,0,0,0,0,0,0,0
120,3.92,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0
