stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,620,0,0,4,0,7,0,2,1,2,0,1,0,0,0,11,3,0,39,4,0,0,1,0,0,1,0,0,2,10,0,0,0,0,0
 24-34,0,0,3.28,1051.52,0.82,0,15.6,0,62.39,0,6.57,0,0,0,0,0,0,0.82,12.31,11.49,0,27.91,43.51,0.82,0.82,10.67,0,4.93,0,0.82,0,0.82,37.76,0,0,1.64,0,0
 36-46,0,0,0,384.3,0,0,16.92,0,36.26,0,0.81,0,0,0,0,0,0,0.81,17.72,4.03,0,0.81,21.75,0,0,9.67,0,1.61,0,0.81,0,0,27.39,0,0,0,0,0.81
 48-58,0,0,0.57,381.01,0.57,0,64.84,0,91.81,0,3.44,0,0,0,0,0,0,3.44,21.23,3.44,0,4.02,21.8,0,0,5.74,0,0.57,0,0,0,0,8.61,0,0,0.57,0,0
 60-70,0,0,0,214.95,0.98,0,94.23,0,43.19,0,0,7.85,0,0,0,0,0,0,8.83,2.94,0,0,16.69,0,0,0,0.98,0,0,0.98,0,0,3.93,0,0.98,0.98,0.98,0
 72-82,0,0,0,292.54,1.96,0,107.98,0,48.1,0,4.91,12.76,0,0,0.98,0,0,0.98,10.8,1.96,0.98,0,24.54,0,0,8.83,0.98,0.98,0,0,0,0,0.98,0,1.96,0,3.93,0
 84-94,0,0,0,526.77,4.25,1.06,196.48,0,64.78,0,3.19,22.3,0,3.19,1.06,0,1.06,0,8.5,6.37,2.12,2.12,16.99,0,0,7.43,1.06,3.19,0,0,1.06,0,2.12,1.06,0,3.19,4.25,3.19
 96-106,0,0,0,408.72,3.28,0,185.78,0,57.92,0,5.46,19.67,0,0,1.09,0,0,2.19,14.21,3.28,0,2.19,34.97,1.09,1.09,3.28,4.37,2.19,0,0,1.09,0,2.19,0,0,2.19,3.28,1.09
108-118,0.77,0,0,204.51,2.3,0,189.96,0,30.64,0.77,6.13,10.72,0,0.77,0,0.77,0,1.53,13.79,0.77,0.77,3.06,36.77,0,0,5.36,2.3,3.06,0,0,0,0,0.77,0.77,0,1.53,0.77,0.77
120,0,0,0,123.47,1.96,0,82.31,1.96,27.44,0,0,5.88,0,1.96,0,0,1.96,1.96,5.88,0,0,0,23.52,0,0,3.92,3.92,1.96,0,0,0,0,0,0,0,1.96,0,0
