stage,epidermis,eye,glial,lateral.line,mesenchyme,muscle,neural,notochord,otic,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,3,0,0,4,0
 24-34,0,0,1.64,0,0,0.82,13.95,0,0.82,2.46,0
 36-46,0,0.81,0,0,0.81,0.81,18.53,0,0,2.42,0.81
 48-58,0.57,0,0.57,0,0,0,9.75,0,0,1.72,0
 60-70,0,0,0,0,0.98,0,4.91,0,0,0.98,0
 72-82,0,0,2.94,0.98,0.98,0,2.94,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,1.06,0
 96-106,0,1.09,2.19,0,2.19,0,0,0,0,0,1.09
108-118,0,0,0.77,0,0.77,0,3.06,0,0,0,0
120,0,0,1.96,0,0,0,1.96,0,0,0,0
