stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,0,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,7.89,92,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,324.14,0,0,18.88,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,7,84,13,7,0,0,0,10,13,0,1,0,0,0,0,0,0,152,0,0,79,294,195,0,0,6,0,1,0,4,0,1,3,225,0,0,0,0,0
 24-34,0,0,1.64,55.82,0.82,30.37,0,0,2.46,22.98,0.82,0.82,1.64,0,0.82,0.82,0,0,0.82,107.53,0.82,2.46,28.73,869.29,96.86,0.82,0.82,0,0.82,1.64,0,0,0.82,0,3.28,320.13,0,0,0,0,0
 36-46,0,0,0,41.89,2.42,73.32,0,0,0.81,70.9,0.81,0,6.45,0,1.61,0,0,0,0,103.13,0,9.67,5.64,782.3,62.84,0,2.42,0,0.81,9.67,0,0,0,0,0,315.82,0,1.61,1.61,0.81,0.81
 48-58,0,0,0,18.36,0.57,134.84,0,0,1.15,168.12,0,0,3.44,0,0.57,0,0,0.57,0,109.6,0,10.33,15.49,469.37,52.22,0.57,1.15,0,1.72,5.16,0,0,0,0,0,215.75,0,1.15,1.15,0,0
 60-70,0,0,0,14.72,0.98,129.56,0,1.96,3.93,171.77,0,0,0.98,0,0,0,0.98,0,0,231.64,0,11.78,9.82,314.09,34.35,0,0.98,0,1.96,2.94,0,0,1.96,0,0,79.5,0,1.96,0,0.98,0
 72-82,0,0,0,12.76,2.94,141.36,0,0.98,2.94,146.27,0.98,0,0,0,0,0,0,0.98,0,365.18,0,20.61,5.89,280.76,34.36,1.96,1.96,0,1.96,2.94,0,0,0,0,0,34.36,0,3.93,0,0,0
 84-94,0,0,0,8.5,2.12,97.71,0,2.12,3.19,77.53,1.06,0,2.12,0,1.06,2.12,0,1.06,2.12,267.63,1.06,9.56,11.68,127.44,39.3,0,2.12,0,1.06,13.81,0,0,0,0,0,21.24,0,3.19,3.19,3.19,1.06
 96-106,0,0,0,10.93,3.28,75.41,1.09,1.09,2.19,84.15,0,0,1.09,0,0,1.09,0,3.28,0,216.38,1.09,10.93,7.65,84.15,16.39,2.19,1.09,0,0,12.02,0,0,0,1.09,0,8.74,0,1.09,0,2.19,0
108-118,0.77,0,0,3.06,0.77,88.85,0,0.77,1.53,65.87,0.77,0,0,0.77,0,0.77,0,0,0,138.64,0,10.72,6.13,95.75,26.04,1.53,1.53,0,0.77,2.3,0,0,0,0,0,6.89,0.77,0.77,0,1.53,0
120,0,0,0,15.68,0,74.47,0,0,0,76.43,1.96,0,0,3.92,1.96,0,0,0,0,174.42,0,3.92,5.88,101.91,41.16,1.96,1.96,0,0,1.96,1.96,0,0,0,0,11.76,0,1.96,0,0,0
