stage,blastomeres,epidermis,eye,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,slow_muscle,spinal_cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,2,0,0,0,1,0
 24-34,0,0,0,0,0,0,1.64,0.82,2.46,0.82,0,0.82,0.82,0
 36-46,0,0.81,0,0,0,0.81,2.42,2.42,3.22,0,0,0,3.22,0
 48-58,0,0,0,0,0,0,2.3,0,2.3,0,0,0,0.57,1.15
 60-70,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,0,1.96,0,3.93,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,0,3.28,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0.77,0.77,0,0,0,0,0
120,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0
