stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,24.52,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,21.03,7.89,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,34.17,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0.82,0,0.82,0,0,0,0.82,9.03,0,0,3.28,0,0,0,2.46,0,0,0.82
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,0,1.61,0,3.22,1.61,0,0,0,8.86,0,0,2.42,0,0,0.81,0,0,0,1.61
 48-58,0,0,0,0,1.72,0,0,0,0,0,0,0,3.44,0,2.87,0.57,0,0,0,6.31,0,0.57,2.87,0,0,0,2.87,0,0,1.15
 60-70,0,0,0,0,4.91,0,0,8.83,0,0,0,0,9.82,0,0.98,1.96,0,0,0,15.7,0,1.96,9.82,0,1.96,0,1.96,0,0,0.98
 72-82,0,0,0,0,8.83,0,0,1.96,0,0,0,0,14.72,0,0,2.94,0,0.98,0.98,20.61,0,0,21.6,0,0.98,0,0.98,0,0.98,0.98
 84-94,0,0,0,0,4.25,0,1.06,6.37,0,0,0,0,10.62,0,1.06,1.06,1.06,0,0,13.81,0,0,21.24,0,1.06,0,3.19,0,0,3.19
 96-106,0,0,0,1.09,4.37,0,0,15.3,0,0,1.09,0,29.51,1.09,0,3.28,0,1.09,0,14.21,0,0,33.88,0,0,1.09,0,0,0,4.37
108-118,0,0,0,0,3.06,0,0,8.43,0,0,0,0,12.26,0,0,2.3,0,2.3,0,13.79,0,0.77,31.4,0,0.77,0,0,0.77,0,2.3
120,0,0,0,0,3.92,0,0,7.84,0,1.96,3.92,0,15.68,0,0,0,0,0,0,19.6,1.96,0,19.6,0,0,0,0,0,0,3.92
