stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,34.62,0,0,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,9,3,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,48,12,1,0,2,1,0,2,10,2,4,746,3,0,0,1,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0.82,0.82,0,1.64,0,0,0,0,0,10.67,6.57,0,0,32.01,13.13,1.64,0,1.64,0,0,0,0,0.82,0,99.32,3.28,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,3.22,0,0,0,0.81,0,4.83,0,0,0,0,0,12.89,12.89,0,0,36.26,26.59,0,0,0,0,0,0.81,0.81,0,0,2.42,7.25,0,0,0,0,0
 48-58,0,0,0.57,0,0,40.17,2.3,0,2.3,20.66,0,1.15,0,0,0.57,0,0,22.95,14.35,0,0,74.59,29.26,0,0,2.3,0,0,0,0,0,0.57,0,10.9,0,0.57,1.72,0,0
 60-70,0,0,0.98,0,0,86.37,2.94,0,0,53,0,1.96,0,0,0.98,0,0,15.7,18.65,0,0,67.73,54.97,0,0.98,1.96,0,0.98,0.98,0,0,0,0,5.89,0,0.98,0,0,0
 72-82,0,0,3.93,0.98,0,96.2,13.74,0.98,1.96,80.5,0,7.85,0,0,0,0,0,15.71,42.21,0,0,91.29,35.34,0,0.98,8.83,0,0.98,3.93,0,0,0,0,1.96,0.98,0.98,1.96,1.96,0.98
 84-94,0,0,1.06,0,0,62.66,8.5,0,0,50.98,0,2.12,0,0,1.06,1.06,0,42.48,29.74,0,0,93.46,29.74,0,0,6.37,0,0,2.12,0,0,0,0,2.12,0,1.06,0,1.06,0
 96-106,0,0,5.46,1.09,0,49.18,7.65,1.09,0,56.83,0,5.46,2.19,1.09,3.28,0,1.09,25.14,29.51,1.09,0,83.06,31.69,0,1.09,9.84,0,2.19,0,0,0,0,0,1.09,0,0,1.09,1.09,2.19
108-118,0,0,1.53,1.53,0.77,29.87,10.72,0,0,49.02,0.77,0.77,0,0,1.53,1.53,1.53,29.11,32.17,0,0.77,98.81,36.77,0.77,0,9.96,0,0.77,0,0,0.77,0,0,0,0.77,0.77,1.53,0.77,0
120,0,0,3.92,1.96,0,37.24,11.76,0,0,37.24,1.96,0,1.96,0,0,0,0,15.68,45.08,0,0,103.87,33.32,0,0,9.8,1.96,3.92,5.88,0,0,1.96,0,1.96,0,0,0,5.88,0
