stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,11,0,0,0,1,0,0,0,0,2,7,2,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0,56.64,0,0,0,0,0,0,0,0,0,2.46,20.52,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,1.61,0,0,1.61,158.72,0,0,0,0,0,0,0.81,0,0,0,38.67,0,0,0,0
 48-58,0,0,0,0.57,1.15,0,10.9,0,0,0,9.75,0,0,0,0,0,0,0,11.48,0,0,1.15,326.49,0,0,0,0,0.57,0,0,0,0,0,61.4,0,0,0,0
 60-70,0,0,0,1.96,0,0,44.17,0,2.94,0,26.5,0,0,0,0.98,0,0,0,9.82,0,0,0,737.12,0,0,0.98,0,0,0,0,0,0.98,0,98.15,0,0,0,0
 72-82,0,0.98,0.98,4.91,0.98,0,79.51,0,0,0,34.36,0.98,0.98,0,0.98,0.98,0,0.98,18.65,0,0,0.98,713.67,0,0,2.94,0,0.98,1.96,0,0,0,0,95.22,0.98,0.98,0.98,0
 84-94,0,0,0,7.43,0,0,64.78,2.12,0,0,11.68,1.06,0,0,1.06,0,1.06,0,8.5,0,0,1.06,416.32,1.06,1.06,4.25,0,0,0,0,0,0,0,49.92,1.06,0,1.06,0
 96-106,0,1.09,0,10.93,0,0,52.46,0,0,1.09,17.49,1.09,1.09,0,0,0,0,0,15.3,0,1.09,1.09,362.83,0,0,0,0,0,2.19,0,0,0,0,20.76,0,0,0,0
108-118,0,0,0,6.89,0,0.77,42.89,0,1.53,0,19.92,1.53,0,0.77,2.3,1.53,0,0,8.43,0.77,0,0.77,374.56,0.77,0,3.06,0,0,0.77,0,0,0,0,14.55,0,0.77,0.77,0.77
120,0,1.96,0,7.84,0,0,50.95,1.96,1.96,0,13.72,0,1.96,0,0,1.96,0,0,7.84,0,0,0,409.6,0,3.92,0,0,0,3.92,0,3.92,0,0,25.48,0,0,0,0
