stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,2,1,0,2,4,14,2,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,0.82,0,0,0,0.82,0,0,0.82,0,0,0.82,2.46,22.16,0,0.82,0,2.46,0.82,2.46,0,0,0
 36-46,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0.81,6.45,27.39,0,1.61,0,1.61,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,5.74,0,0,1.15,0,0,0,0,0,0,0,1.15,0,0,2.87,26.97,0,0,0,0,0,2.3,0,0,0.57
 60-70,0,0,0,0,0.98,3.93,0,0,2.94,0,0,0,0,0,0,0,0,0,0,9.82,25.52,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,6.87,0.98,0,4.91,0,0,0,0,0,0,0,1.96,0.98,1.96,23.56,58.9,0,0.98,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,2.12,2.12,5.31,0,1.06,5.31,0,0,0,0,0,0,0,1.06,0,1.06,18.05,55.23,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,4.37,9.84,0,0,9.84,1.09,0,1.09,0,0,0,0,0,0,0,22.95,95.08,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.06,6.13,0,0,2.3,0,0,0.77,0,0.77,0,0,2.3,0,0,23.74,51.32,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,5.88,3.92,0,0,1.96,1.96,0,1.96,0,0,1.96,0,0,0,0,27.44,29.4,0,0,0,0,0,1.96,0,0,0
