stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,59.79,9.44,0,0,22.03,0,3.15,0,0,0,0,0
 14-21,0,0,0,6,84,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,1,1,0,1,3,0,0,0
 24-34,0,0,0,0.82,25.45,0,0.82,2.46,0,0.82,0.82,0,0,2.46,0.82,0.82,0.82,0,4.93,0,0.82,4.1,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,7.25,0,0,0.81,0,0,0,0,0,4.03,0,0.81,0,0.81,0.81,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,7.46,0,0,3.44,0,0,1.15,0,0,1.72,0,1.15,0,0,2.3,0,0.57,1.15,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,5.89,0,0,10.8,0,0,4.91,0,0,0.98,0.98,3.93,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,2.94,0,13.74,0,0.98,5.89,0,0.98,18.65,0,1.96,4.91,0,0.98,0,0,2.94,0,1.96,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,24.43,0,0,13.81,0,0,24.43,0,1.06,4.25,0,1.06,0,0,3.19,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,34.97,1.09,2.19,16.39,1.09,0,21.86,0,6.56,3.28,0,0,0,0,3.28,0,5.46,1.09,0,0,0,0,0,1.09,0,1.09
108-118,0,0,3.06,0,26.04,0.77,0,29.87,0.77,0.77,19.15,0,5.36,3.06,0,0.77,0,0,1.53,0,2.3,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,41.16,1.96,1.96,19.6,0,0,35.28,0,5.88,3.92,1.96,1.96,0,0,9.8,0,0,0,0,1.96,0,0,0,1.96,0,0
