stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,1,0,5,1,1,0,4,0,0,1,0,0,23,2,2,2,1,20,0,0
 24-34,0,0,0,0.82,0,0,3.28,0,7.39,0,0,0,3.28,0,0.82,0.82,0,0,54.18,9.03,1.64,10.67,1.64,14.78,0,0
 36-46,0,0,0.81,0,0.81,0,8.06,0,5.64,0,0,0,2.42,0,0.81,0,0,0,37.06,8.06,0,3.22,1.61,13.7,0,0
 48-58,0,0,0,0,0,0,10.9,0.57,8.61,1.15,0,0,0,0.57,1.15,1.72,0.57,0,20.08,10.9,0.57,1.72,0.57,8.03,0,1.15
 60-70,0,0,0.98,0,0.98,0,13.74,0,19.63,1.96,0,0,3.93,1.96,0,2.94,0,0,15.7,14.72,2.94,0.98,0,7.85,0,0
 72-82,0,0,3.93,0,2.94,0,8.83,0,17.67,7.85,0,0,8.83,6.87,0,1.96,1.96,0.98,18.65,40.25,8.83,2.94,0.98,7.85,0,0.98
 84-94,0,0,1.06,0,4.25,1.06,12.74,0,7.43,4.25,0,5.31,3.19,2.12,0,1.06,1.06,0,8.5,19.12,4.25,6.37,0,2.12,2.12,0
 96-106,0,0,2.19,0,2.19,0,13.11,0,15.3,17.49,0,7.65,14.21,8.74,2.19,0,0,0,14.21,54.64,3.28,6.56,0,1.09,1.09,1.09
108-118,0,0,3.06,0,5.36,1.53,5.36,0,16.85,24.51,0,1.53,5.36,3.06,2.3,1.53,0,0,12.26,23.74,13.79,6.89,0.77,5.36,2.3,0.77
120,1.96,0,0,3.92,1.96,0,17.64,0,19.6,21.56,0,1.96,7.84,5.88,1.96,3.92,0,1.96,9.8,23.52,5.88,0,0,1.96,1.96,3.92
