stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,140.98,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,63.09,15.77,52.57,0,0,5.26,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,55.2,18.4,0,0,467.91,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,15.73,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,22.03,0,0,132.17,0,0,0,40.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,15,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,0,17,2,3,0,0,0,0,0,5,1,1,11,6,0,0,0,0,0
 24-34,0,0,0,1.64,3.28,1.64,0,0,6.57,0.82,0,0,0.82,0,0.82,0,0,0,122.31,0,0,38.58,4.93,0.82,0.82,1.64,0,0,1.64,0,2.46,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,0,2.42,1.61,0,0.81,28.2,3.22,0,0,3.22,0,1.61,0,0,0,180.47,0,6.45,37.87,9.67,0.81,0.81,0,0,0,0.81,0,0.81,1.61,0,4.03,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,3.44,0,0,43.04,1.72,0,0,0.57,0,1.72,0,0,0.57,254.77,0,15.49,43.04,12.62,0.57,0.57,0,0,1.72,0.57,0,0.57,0,0,3.44,0,1.72,0.57,1.72,0
 60-70,0,0,0,0,0,9.82,0.98,0.98,28.46,2.94,0,0,1.96,1.96,1.96,0,0,0,389.66,0,27.48,17.67,12.76,0,0,0.98,0,0.98,0.98,0,0,0,0,1.96,0,27.48,0,24.54,0
 72-82,0,0,0.98,0.98,0,30.43,10.8,0,65.77,2.94,2.94,0,1.96,0.98,6.87,0,0,0.98,625.32,0.98,19.63,41.23,28.47,0,0,0.98,0,6.87,2.94,0,0.98,0.98,0,3.93,0,43.19,0.98,58.9,0
 84-94,0,0,0,1.06,2.12,58.41,7.43,0,49.92,3.19,0,0,2.12,0,7.43,0,0,1.06,490.66,0,37.17,26.55,16.99,0,0,0,0,0,7.43,0,4.25,2.12,0,0,0,53.1,1.06,59.47,0
 96-106,0,0,0,10.93,1.09,34.97,2.19,1.09,36.06,6.56,0,0,3.28,1.09,14.21,1.09,0,0,548.61,1.09,14.21,21.86,36.06,0,1.09,0,0,3.28,12.02,0,3.28,0,0,0,1.09,44.81,0,78.68,0
108-118,0,0,0,3.06,1.53,14.55,3.06,1.53,41.36,6.13,3.06,0,1.53,0.77,18.38,0.77,1.53,1.53,519.32,0,24.51,16.09,32.17,0,0,0,0,3.06,9.19,0,0.77,0.77,0,1.53,0,45.19,0.77,34.47,0.77
120,0,0,0,3.92,0,15.68,0,0,43.12,1.96,1.96,0,1.96,1.96,1.96,0,0,0,393.92,1.96,23.52,13.72,19.6,0,1.96,0,0,1.96,13.72,0,0,0,0,0,0,37.24,1.96,39.2,0
