stage,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,3,1,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,2.46,0.82,0,0,0.82,0,0,1.64,0,0,0
 36-46,1.61,0,0,1.61,0,0,0,0,0,0,5.64,0,2.42,8.06,0,0,0,0,1.61,0,3.22,0,0,0
 48-58,0.57,0,0.57,3.44,0,0,0,0,0.57,0,4.59,0.57,1.15,10.9,0.57,0,1.15,0,0,0,3.44,0,0.57,0
 60-70,0,0,0.98,1.96,0.98,0,0,0,0,1.96,9.82,0.98,0,8.83,0,0,0,0,0,0,0.98,0,0,0
 72-82,0.98,0,4.91,0.98,0,0,0,0,0,0,5.89,0.98,0.98,9.82,0,1.96,0,0,0,0,0,0.98,0,0.98
 84-94,4.25,0,1.06,4.25,1.06,0,1.06,0,0,0,8.5,0,2.12,3.19,0,0,2.12,0,1.06,0,0,0,0,3.19
 96-106,0,0,1.09,3.28,0,2.19,0,0,0,0,12.02,0,2.19,4.37,0,1.09,1.09,2.19,0,0,0,1.09,1.09,2.19
108-118,0.77,0,1.53,0.77,0,0,0,0.77,0,0,10.72,0,0,10.72,0,0,0.77,0,0,0,1.53,0.77,0,1.53
120,0,1.96,1.96,0,0,0,0,0,0,0,5.88,0,0,5.88,0,1.96,0,0,0,0,1.96,0,0,1.96
