stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1805.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,1930.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,18.39,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,28.92,0,49.95,0,0,0,94.63,0,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,867.48,26.29,0,0,378.53,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,12.59,0,37.76,0,6.29,0,50.35,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,641.98,12.59,0,0,302.11,0,0,6.29,0,28.32,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,42,6,0,26,0,0,0,8,1,2,0,0,0,0,0,0,0,22,0,0,15,206,6,0,0,7,0,2,0,21,3,26,82,0,0,0,0,0
 24-34,0,0,0,0,13.13,0.82,0,33.66,0,0,0.82,10.67,1.64,0,0,0,0.82,0,0,1.64,0,26.27,0,0,15.6,380.06,1.64,2.46,4.1,0,0,9.85,0,0,1.64,3.28,115.74,0,0,8.21,0,0
 36-46,0,0,0,0,7.25,1.61,0,66.06,0,0.81,1.61,16.11,0,0,0,0,1.61,0,1.61,0,0.81,42.7,0,1.61,11.28,485.82,1.61,3.22,1.61,0,0,4.03,0,0,0,0,115.21,0,0,4.03,0,0
 48-58,0,0.57,0,0,5.16,0.57,0,144.03,0,1.72,1.15,31.56,0.57,0,0,0.57,0,0,0,0.57,2.3,45.33,0,3.44,8.61,486.59,0,1.15,1.15,0,0,1.72,0,0,0,0,105.01,0,0,0.57,0,1.15
 60-70,0,0,0,0,9.82,0.98,0,209.06,0,0.98,0.98,29.45,0,0.98,0.98,0,0.98,0.98,0,0,1.96,53,0,0.98,3.93,427.94,0,1.96,1.96,0,2.94,3.93,0,0,0.98,0,61.84,0,0,3.93,1.96,0.98
 72-82,0,0,0,0,7.85,10.8,0,198.3,0.98,0.98,6.87,33.38,3.93,0,0,1.96,2.94,3.93,1.96,0,0,68.72,0.98,2.94,12.76,296.46,0,1.96,0,0,1.96,2.94,0,0,0,0,40.25,0,0.98,7.85,2.94,2.94
 84-94,0,0,1.06,0,11.68,6.37,0,139.13,0,1.06,3.19,19.12,2.12,0,0,1.06,3.19,2.12,1.06,0,1.06,38.23,2.12,3.19,6.37,160.37,1.06,3.19,4.25,0,0,10.62,0,0,0,0,19.12,2.12,2.12,4.25,2.12,0
 96-106,0,0,1.09,0,7.65,6.56,0,110.38,0,1.09,1.09,24.04,3.28,0,1.09,6.56,1.09,1.09,1.09,1.09,0,30.6,2.19,0,5.46,111.47,1.09,4.37,5.46,0,3.28,13.11,0,0,3.28,0,6.56,0,3.28,4.37,1.09,3.28
108-118,0,0,0,0.77,2.3,5.36,0.77,60.51,0,0,2.3,16.09,1.53,0,1.53,2.3,2.3,5.36,3.06,0,1.53,31.4,1.53,2.3,3.06,133.28,0.77,3.06,4.6,0,0.77,6.13,0,0,0.77,0,3.06,1.53,1.53,4.6,1.53,2.3
120,0,0,1.96,0,17.64,15.68,0,58.79,1.96,0,3.92,23.52,3.92,0,1.96,1.96,1.96,3.92,0,0,0,35.28,1.96,5.88,7.84,145.02,1.96,0,7.84,0,0,13.72,0,0,0,0,1.96,3.92,0,5.88,0,0
