stage,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,mucous,neural,notochord,olfactory,periderm,spinal.cord,taste,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,2,0,0,1,4,0,0
 24-34,0,0,0,0,0,0,0,0,5.75,0,0,0,3.28,0,0
 36-46,0,0,0,1.61,0,0,0,0,2.42,0,0.81,0,0,0,0
 48-58,0,0,0,1.15,0,0,0.57,0,4.02,0,1.15,0.57,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,0,5.89,0.98,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,7.85,0,5.89,0,0.98,0,0
 84-94,0,0,0,3.19,1.06,0,2.12,0,4.25,0,2.12,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,1.09,0,10.93,0,1.09,0,0
108-118,0,0.77,0,1.53,0,0.77,0.77,0,4.6,0,2.3,0.77,0.77,0.77,0
120,0,0,1.96,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0
