stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,128.72,0,0,0,0,0,0,0,0,79.69,0,18.39,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,0,5.26,0,0,18.4,0,123.55,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,0,0,0,0,34.62,6.29,229.73,3.15,34.62,3.15,0,3.15,0
 14-21,0,0,0,4,2,0,0,0,1,2,13,0,1,1,277,0,1,93,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,1.64,9.03,1.64,0,0,3.28,0,0,19.7,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,3.19,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
