stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,2,1,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,15.6,0,0,0,0,0,0,0,0,4.1,0.82,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0.81,31.42,0,0,0,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,8.03,0,0.57,0,1.15,0,0.57,0,0,0,0.57,0.57,0,0.57,19.51,0,0,0,0,1.15,0,0,0,3.44,0.57,0,0
 60-70,0,0,0.98,0,7.85,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0.98,3.93,0,0,0,2.94,0,0,0,0,0.98,0,5.89,0,0,13.74,0,0,0,0,1.96,0,0.98,0,2.94,0,0.98,0
 84-94,0,0,0,0,4.25,0,0,0,2.12,0,0,1.06,0,0,0,1.06,1.06,0,5.31,0,0,0,0,4.25,0,0,0,1.06,0,1.06,0
 96-106,0,0,2.19,0,5.46,2.19,0,0,1.09,2.19,0,1.09,0,0,0,3.28,0,1.09,3.28,0,0,0,0,3.28,0,1.09,0,1.09,2.19,0,1.09
108-118,0,0,1.53,0,1.53,0,0,0.77,3.06,0.77,0,0.77,0,0,0.77,2.3,1.53,1.53,6.89,0.77,0.77,0,0.77,0.77,0.77,0.77,0,0,0,0.77,0
120,0,1.96,0,0,3.92,0,0,0,3.92,0,0,0,0,0,0,1.96,1.96,1.96,5.88,0,0,0,0,5.88,0,0,0,0,3.92,0,0
