stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,0,3,1,0,2,0,2,0,0,0,0,0,0,1,0,5,65,0,0,1,2,0,2,4,1,20,0,0,0
 24-34,0,0.82,0.82,0,0,2.46,0,0,0.82,0,0,0,0,0,4.1,0,0,54.18,0,0.82,1.64,0,0,4.1,0,0,7.39,0,0,0
 36-46,0,0,0.81,0,0,13.7,0.81,0,0,0,0.81,0.81,0,0,4.03,0,0,52.37,0,0.81,0,0,0,3.22,0,0,4.03,0,0,0
 48-58,0,0,1.15,0,0,20.08,0,4.59,0,0,0,0,0,0,5.74,0,0.57,56.23,0,2.3,1.15,0,0,1.15,0,0,9.75,0,0,0
 60-70,0,0,0,0,0,17.67,0,3.93,0.98,0,0,0,0,0,1.96,0,0.98,38.28,0,1.96,0.98,0,0,0,0,0,4.91,0,0,0
 72-82,0.98,0,0,3.93,0.98,23.56,0,4.91,0,0,0.98,0,0,0,5.89,0,0.98,31.41,0,1.96,1.96,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,4.25,0,0,14.87,0,4.25,0,0,0,0,1.06,1.06,4.25,0,2.12,39.3,0,2.12,0,0,0,10.62,0,0,4.25,0,2.12,0
 96-106,2.19,0,2.19,3.28,0,5.46,0,4.37,0,1.09,3.28,0,0,0,7.65,0,0,21.86,0,1.09,2.19,0,1.09,1.09,0,0,1.09,1.09,0,1.09
108-118,0,0,2.3,0,0,8.43,0.77,6.13,1.53,0,1.53,0,0,0,9.19,0.77,0,35.23,0.77,2.3,0,0,0,2.3,0,0,0.77,0.77,3.06,0
120,0,0,3.92,1.96,0,11.76,0,3.92,0,0,0,0,0,0,5.88,0,1.96,39.2,0,0,0,0,0,5.88,0,0,1.96,0,0,0
