stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,1,1,1,0,2,0,0,0,0,0
 24-34,0,0,0.82,1.64,4.1,0,3.28,0,0,0,0.82,0,0,0,0.82,1.64,0,0,0.82,0,4.93,0,0,4.1,42.68,0.82,2.46,0.82,0,4.1,0,0,0,14.78,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,8.86,0,2.42,0,0,0.81,0,0,0,0.81,0,0,0,1.61,2.42,0,0,2.42,99.1,0,4.03,0,0,6.45,0,0,0.81,24.17,0,0,0,0,0
 48-58,0,0,0.57,0,2.87,0,20.66,0,1.15,0,0,0,0.57,0.57,0.57,0.57,0.57,0.57,0,1.15,4.02,0,0,1.72,122.79,0,1.72,0.57,0,2.87,0,0,0,29.84,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,39.26,0,0,0.98,5.89,0.98,0.98,0,2.94,0,0,0,0,0.98,8.83,0.98,0.98,0.98,245.38,0,6.87,0,0,0.98,0,0,0,37.3,0,0,0,0,0.98
 72-82,0,0,1.96,0,5.89,5.89,74.61,0.98,0,1.96,13.74,0.98,0.98,0,1.96,0,0.98,0,0,0,19.63,1.96,0,4.91,266.03,0,0.98,0,0,2.94,0,0,0,31.41,0.98,0.98,0.98,1.96,0
 84-94,0,0,0,0,7.43,4.25,46.73,0,2.12,0,12.74,2.12,0,0,1.06,1.06,3.19,1.06,1.06,3.19,13.81,1.06,0,2.12,110.45,1.06,1.06,1.06,1.06,16.99,0,0,1.06,20.18,1.06,1.06,3.19,0,2.12
 96-106,0,0,0,0,5.46,9.84,51.36,0,3.28,1.09,21.86,4.37,0,0,7.65,5.46,1.09,1.09,4.37,3.28,17.49,0,1.09,1.09,131.14,0,6.56,3.28,0,25.14,0,0,0,17.49,2.19,0,7.65,0,1.09
108-118,0,0,0,0,13.79,6.89,43.66,0.77,1.53,1.53,15.32,4.6,0,0,4.6,7.66,1.53,1.53,0,3.06,22.21,1.53,0.77,0.77,166.21,0,6.89,2.3,0.77,10.72,0,0,0,7.66,3.06,1.53,3.83,1.53,0.77
120,0,0,0,0,23.52,1.96,39.2,0,5.88,1.96,11.76,5.88,0,0,3.92,0,3.92,1.96,0,1.96,15.68,1.96,0,0,260.65,0,0,7.84,1.96,23.52,0,0,1.96,15.68,0,0,9.8,3.92,0
