stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,3.15,6.29,0,0,0,0,0,0
 14-21,0,66,1,0,0,4,0,0,0,3,0,1,0,0,2,0,0,0,2,0,0,0,0,38,0,0,0,0,0,0,0
 24-34,0,55.82,0,1.64,0,22.98,0,0,0,0.82,0.82,9.85,0,0,4.1,0,0,1.64,17.24,0.82,0.82,0,0,106.71,0,3.28,0,0,0.82,0,0
 36-46,0,25.78,0,0.81,0,12.89,0,0.81,0,0,0,7.25,0,0,0,2.42,0,0.81,22.56,6.45,0,0.81,0,83.79,0,5.64,0,0,0.81,0,0
 48-58,0,24.1,0,4.59,0.57,13.77,0,1.15,0,0.57,0,10.33,0,0.57,0.57,3.44,0,0,17.79,0,0,0.57,0,74.02,0,1.72,0,0,1.15,0,0.57
 60-70,0,34.35,0,4.91,0,27.48,0,0.98,0,0,0,12.76,0,0,0.98,1.96,0,0,12.76,0.98,0.98,0.98,0,87.36,0,3.93,0,0.98,0,0,1.96
 72-82,0,51.05,0.98,5.89,0,21.6,0,1.96,1.96,0,0.98,18.65,0,0,2.94,0.98,1.96,0,21.6,0.98,3.93,0.98,0,84.42,0,0.98,0.98,0,0.98,0.98,0
 84-94,0,77.53,0,8.5,0,52.04,0,3.19,5.31,1.06,2.12,11.68,0,0,2.12,2.12,1.06,1.06,7.43,1.06,3.19,0,0,265.51,0,0,2.12,0,1.06,2.12,0
 96-106,0,102.73,0,1.09,0,24.04,0,1.09,6.56,0,4.37,21.86,0,1.09,1.09,4.37,0,1.09,6.56,2.19,8.74,0,0,229.5,0,0,3.28,0,0,0,0
108-118,0,128.68,0,1.53,0,41.36,2.3,0.77,5.36,0.77,3.83,19.15,0.77,0,1.53,3.83,0,0,8.43,2.3,3.06,1.53,0,169.28,0,1.53,1.53,0.77,0,0,0
120,0,127.39,1.96,3.92,0,45.08,1.96,0,17.64,0,9.8,13.72,0,0,5.88,5.88,0,0,19.6,3.92,1.96,0,1.96,172.46,0,0,0,0,0,0,0
