stage,blastomeres,epidermis,eye,glial,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,pronephros,somites,spinal_cord,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,3,1,0,0,0,0,2,0
 24-34,0,0,0,0,0.82,0,3.28,1.64,1.64,0,0,0.82,0.82,0
 36-46,0,0.81,0.81,0,1.61,0,3.22,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,1.15,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,9.82,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,0.98,0.98,8.83,0,9.82,0.98,0.98,0,0,0,0,0
 84-94,0,0,1.06,0,19.12,0,4.25,2.12,1.06,0,0,0,0,0
 96-106,0,1.09,1.09,2.19,15.3,0,3.28,2.19,0,0,0,0,0,0
108-118,0,1.53,0.77,0,10.72,0.77,8.43,0,0,0,0,0,0,0
120,0,0,0,0,9.8,1.96,5.88,1.96,1.96,0,0,0,0,1.96
